Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2009-2010,Cristobal Huet,CHI,G,40.0,48.0,16.0,43.0,41.0,52.0,4.0,2.0,23.0,43.0,43.0,56.0,30.0,Tandem (1A),48,2731.75,0.895,2.5,98.4,114,33,1975-09-03,FRA,FRA,73,205,2001,7,214,8469658,26,14,4,4,"[72, 58, 18]","[81, 44, 5]","[41, 74, 72]","['WSH', 'CHI', 'CHI']"
2009-2010,Curtis McElhinney,CGY,G,56.0,55.0,33.0,59.0,49.0,47.0,8.0,21.0,47.0,52.0,48.0,53.0,58.0,Backup,20,1023.8666666667,0.902,2.99,42.01,51,26,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,8,5,2,0,"[None, 3, 13]","[None, 8, 17]","[None, 50, 40]","[None, 'CGY', 'CGY']"
2009-2010,Curtis McElhinney,ANA,G,56.0,55.0,33.0,59.0,49.0,47.0,8.0,21.0,47.0,52.0,48.0,53.0,58.0,Backup,20,1023.8666666667,0.902,2.99,42.01,51,26,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,8,5,2,0,"[None, 3, 13]","[None, 8, 17]","[None, 50, 40]","[None, 'CGY', 'CGY']"
2009-2010,Dan Ellis,NSH,G,41.0,37.0,52.0,8.0,33.0,51.0,28.0,34.0,27.0,34.0,36.0,44.0,36.0,Backup,31,1714.65,0.909,2.69,71.8,77,29,1980-06-19,CAN,CAN,73,195,2000,2,60,8468540,15,13,1,1,"[88, 23, 43]","[67, 32, 42]","[97, 24, 13]","['NSH', 'NSH', 'NSH']"
2009-2010,Devan Dubnyk,EDM,G,59.0,51.0,60.0,9.0,60.0,38.0,43.0,57.0,54.0,59.0,59.0,55.0,60.0,Backup,19,1075.4333333333,0.889,3.57,52.24,64,23,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227,4,10,2,0,"[None, None, 3]","[None, None, 20]","[None, None, 7]","[None, None, 'EDM']"
2009-2010,Dwayne Roloson,NYI,G,29.0,27.0,40.0,23.0,32.0,24.0,51.0,56.0,34.0,23.0,24.0,31.0,35.0,Starter,50,2877.3,0.907,3.02,144.37,145,39,1969-10-12,CAN,CAN,73,170,-,-,-,8460806,23,18,7,1,"[17, 60, 53]","[12, 69, 52]","[60, 76, 23]","['EDM', 'EDM', 'NYI']"
2009-2010,Evgeni Nabokov,SJS,G,13.0,20.0,14.0,14.0,10.0,37.0,32.0,16.0,4.0,15.0,15.0,12.0,6.0,Starter,71,4194.1333333333,0.922,2.43,191.58,170,34,1975-07-25,KAZ,RUS,72,202,1994,9,219,8460705,44,16,10,3,"[48, 50, 82]","[24, 48, 78]","[90, 84, 65]","['SJS', 'SJS', 'SJS']"
2009-2010,Henrik Lundqvist,NYR,G,2.0,2.0,6.0,32.0,2.0,4.0,23.0,55.0,8.0,9.0,9.0,6.0,13.0,Starter,73,4203.8166666667,0.921,2.38,211.33,167,27,1982-03-02,SWE,SWE,73,182,2000,7,205,8468685,35,27,10,4,"[84, 92, 97]","[84, 77, 97]","[72, 97, 70]","['NYR', 'NYR', 'NYR']"
2009-2010,Ilya Bryzgalov,PHX,G,18.0,23.0,29.0,22.0,13.0,34.0,14.0,26.0,9.0,7.0,7.0,7.0,14.0,Starter,69,4063.8666666667,0.92,2.3,168.17,156,29,1980-06-22,RUS,RUS,75,213,2000,2,44,8468524,42,20,6,8,"[74, 40, 78]","[83, 37, 63]","[29, 6, 85]","['PHX', 'PHX', 'PHX']"
2009-2010,Jaroslav Halak,MTL,G,7.0,5.0,10.0,13.0,8.0,9.0,50.0,52.0,7.0,19.0,19.0,17.0,5.0,Tandem (1A),45,2629.9333333333,0.924,2.4,123.21,105,24,1985-05-13,SVK,SVK,71,189,2003,9,271,8470860,26,13,5,5,"[None, 82, 88]","[None, 81, 90]","[None, 82, 78]","[None, 'MTL', 'MTL']"
2009-2010,Jason LaBarbera,PHX,G,16.0,42.0,3.0,5.0,26.0,56.0,27.0,25.0,1.0,4.0,4.0,10.0,25.0,Backup,17,927.88333333333,0.928,2.13,35.69,33,29,1980-01-18,CAN,CAN,75,232,1998,3,66,8467391,8,5,1,0,"[59, 18, 92]","[36, 10, 60]","[71, 71, 95]","['LAK', 'VAN', 'PHX']"
2009-2010,Jean-Sebastien Giguere,ANA,G,39.0,30.0,28.0,56.0,38.0,8.0,17.0,36.0,49.0,50.0,51.0,48.0,42.0,Tandem (1B),35,2030.15,0.907,2.84,99.89,96,32,1977-05-16,CAN,CAN,73,202,1995,1,13,8462044,10,15,7,3,"[91, 29, 40]","[93, 29, 48]","[40, 48, 60]","['ANA', 'ANA', 'TOR']"
2009-2010,Jean-Sebastien Giguere,TOR,G,39.0,30.0,28.0,56.0,38.0,8.0,17.0,36.0,49.0,50.0,51.0,48.0,42.0,Tandem (1B),35,2030.15,0.907,2.84,99.89,96,32,1977-05-16,CAN,CAN,73,202,1995,1,13,8462044,10,15,7,3,"[91, 29, 40]","[93, 29, 48]","[40, 48, 60]","['ANA', 'ANA', 'TOR']"
2009-2010,Jeff Deslauriers,EDM,G,54.0,56.0,15.0,45.0,47.0,55.0,55.0,58.0,48.0,56.0,56.0,52.0,54.0,Tandem (1A),48,2798.0833333333,0.901,3.26,139.76,152,25,1984-05-15,CAN,CAN,76,203,2002,2,31,8470074,16,28,4,3,"[None, None, 12]","[None, None, 10]","[None, None, 63]","[None, None, 'EDM']"
2009-2010,Jimmy Howard,DET,G,5.0,16.0,1.0,41.0,18.0,18.0,11.0,31.0,13.0,2.0,2.0,2.0,2.0,Starter,63,3735.3,0.924,2.26,140.93,141,25,1984-03-26,USA,USA,73,218,2003,2,64,8470657,37,15,10,3,"[None, None, 87]","[None, None, 72]","[None, None, 92]","[None, None, 'DET']"
2009-2010,Johan Hedberg,ATL,G,32.0,25.0,46.0,12.0,20.0,46.0,37.0,50.0,43.0,47.0,47.0,51.0,41.0,Tandem (1A),47,2632.8166666667,0.915,2.62,121.83,115,36,1973-05-05,SWE,SWE,72,190,1994,9,218,8460704,21,16,6,3,"[5, 5, 85]","[7, 26, 80]","[3, 3, 58]","['ATL', 'ATL', 'ATL']"
2009-2010,Jonas Gustavsson,TOR,G,46.0,43.0,25.0,40.0,52.0,21.0,1.0,32.0,57.0,53.0,53.0,30.0,48.0,Tandem (1A),42,2339.6,0.902,2.87,98.48,112,24,1984-10-24,SWE,SWE,76,201,-,-,-,8475361,16,15,9,1,"[None, None, 25]","[None, None, 37]","[None, None, 53]","[None, None, 'TOR']"
2009-2010,Jonas Hiller,ANA,G,6.0,3.0,26.0,27.0,24.0,2.0,38.0,46.0,11.0,17.0,17.0,14.0,16.0,Starter,59,3317.7333333333,0.918,2.75,163.91,152,27,1982-02-12,CHE,CHE,74,191,-,-,-,8473972,30,23,4,2,"[97, 84, 83]","[86, 79, 93]","[98, 63, 48]","['ANA', 'ANA', 'ANA']"
2009-2010,Jonathan Quick,LAK,G,36.0,38.0,32.0,48.0,44.0,16.0,20.0,4.0,40.0,36.0,37.0,43.0,23.0,Starter,72,4241.0333333333,0.907,2.55,169.25,180,23,1986-01-21,USA,USA,73,220,2005,3,72,8471734,39,24,7,4,"[None, 53, 33]","[None, 58, 33]","[None, 58, 38]","[None, 'LAK', 'LAK']"
2009-2010,Jose Theodore,WSH,G,28.0,10.0,38.0,33.0,25.0,6.0,34.0,43.0,21.0,33.0,35.0,46.0,19.0,Tandem (1A),47,2585.6333333333,0.911,2.81,121.53,121,32,1976-09-13,CAN,CAN,71,172,1994,2,44,8460535,30,7,7,1,"[57, 31, 72]","[48, 31, 92]","[52, 31, 37]","['COL', 'WSH', 'WSH']"
2009-2010,Josh Harding,MIN,G,24.0,24.0,34.0,35.0,51.0,10.0,19.0,41.0,39.0,12.0,12.0,20.0,45.0,Backup,25,1300.1833333333,0.905,3.05,55.83,66,25,1984-06-18,CAN,CAN,74,194,2002,2,38,8470216,9,12,0,1,"[45, 94, 32]","[47, 56, 53]","[55, 98, 12]","['MIN', 'MIN', 'MIN']"
2009-2010,Manny Legace,CAR,G,55.0,52.0,50.0,47.0,54.0,41.0,47.0,22.0,53.0,44.0,44.0,45.0,50.0,Backup,28,1472.0333333333,0.907,2.81,70.85,69,36,1973-02-04,CAN,CAN,70,200,1993,8,188,8459308,10,7,5,1,"[62, 2, 23]","[76, 0, 30]","[67, 40, 18]","['STL', 'STL', 'CAR']"
2009-2010,Marc-Andre Fleury,PIT,G,30.0,40.0,18.0,49.0,39.0,27.0,41.0,19.0,42.0,39.0,39.0,38.0,20.0,Starter,67,3798.2833333333,0.905,2.65,158.65,168,24,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594,37,21,6,1,"[78, 56, 37]","[88, 63, 22]","[22, 66, 75]","['PIT', 'PIT', 'PIT']"
2009-2010,Martin Biron,NYI,G,45.0,34.0,55.0,52.0,12.0,39.0,46.0,53.0,56.0,49.0,50.0,22.0,44.0,Backup,29,1614.1166666667,0.896,3.31,76.56,89,32,1977-08-15,CAN,CAN,74,186,1995,1,16,8462047,9,14,4,1,"[60, 52, 10]","[69, 27, 50]","[34, 89, 3]","['PHI', 'PHI', 'NYI']"
2009-2010,Martin Brodeur,NJD,G,15.0,15.0,37.0,38.0,17.0,15.0,7.0,5.0,10.0,10.0,10.0,23.0,8.0,Starter,77,4479.0166666667,0.916,2.25,159.74,168,37,1972-05-06,CAN,CAN,74,220,1990,1,20,8455710,45,25,6,9,"[81, 73, 70]","[66, 90, 62]","[83, 19, 43]","['NJD', 'NJD', 'NJD']"
2009-2010,Marty Turco,DAL,G,38.0,35.0,54.0,39.0,31.0,36.0,24.0,15.0,36.0,30.0,32.0,28.0,31.0,Starter,53,3082.85,0.913,2.72,131.17,140,34,1975-08-13,CAN,CAN,71,184,1994,5,124,8460612,22,20,11,4,"[52, 24, 48]","[34, 15, 65]","[76, 13, 15]","['DAL', 'DAL', 'DAL']"
2009-2010,Mathieu Garon,CBJ,G,52.0,50.0,43.0,18.0,37.0,57.0,36.0,17.0,25.0,37.0,29.0,47.0,51.0,Tandem (1B),35,1772.05,0.903,2.81,76.89,83,31,1978-01-09,CAN,CAN,73,198,1996,2,44,8464999,12,9,6,2,"[43, 15, 20]","[19, 39, 13]","[91, 2, 68]","['EDM', 'PIT', 'CBJ']"
2009-2010,Michael Leighton,CAR,G,48.0,58.0,27.0,28.0,36.0,58.0,59.0,44.0,44.0,25.0,26.0,32.0,43.0,Tandem (1B),34,1798.3166666667,0.905,2.84,81.88,85,28,1981-05-19,CAN,CAN,75,186,1999,6,165,8468038,17,9,2,1,"[None, 26, 28]","[None, 16, 7]","[None, 32, 62]","[None, 'CAR', 'PHI']"
2009-2010,Michael Leighton,PHI,G,48.0,58.0,27.0,28.0,36.0,58.0,59.0,44.0,44.0,25.0,26.0,32.0,43.0,Tandem (1B),34,1798.3166666667,0.905,2.84,81.88,85,28,1981-05-19,CAN,CAN,75,186,1999,6,165,8468038,17,9,2,1,"[None, 26, 28]","[None, 16, 7]","[None, 32, 62]","[None, 'CAR', 'PHI']"
2009-2010,Michal Neuvirth,WSH,G,20.0,13.0,20.0,11.0,7.0,32.0,57.0,45.0,5.0,31.0,33.0,39.0,22.0,Backup,17,872.21666666667,0.914,2.75,41.19,40,21,1988-03-23,CZE,CZE,73,209,2006,2,34,8473607,9,4,0,0,"[None, None, 60]","[None, None, 75]","[None, None, 57]","[None, None, 'WSH']"
2009-2010,Miikka Kiprusoff,CGY,G,26.0,29.0,21.0,31.0,34.0,28.0,22.0,12.0,20.0,11.0,11.0,11.0,18.0,Starter,73,4235.3333333333,0.92,2.31,166.37,163,32,1976-10-26,FIN,FIN,73,185,1995,5,116,8462147,35,28,10,4,"[38, 37, 75]","[52, 21, 67]","[33, 87, 52]","['CGY', 'CGY', 'CGY']"
2009-2010,Mike Smith,TBL,G,42.0,33.0,36.0,42.0,22.0,44.0,33.0,38.0,45.0,46.0,46.0,29.0,49.0,Tandem (1A),42,2273.4666666667,0.9,3.09,99.09,117,27,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608,13,18,7,2,"[28, 55, 27]","[9, 84, 38]","[66, 26, 45]","['TBL', 'TBL', 'TBL']"
2009-2010,Niklas Backstrom,MIN,G,37.0,45.0,12.0,19.0,46.0,49.0,16.0,6.0,31.0,20.0,20.0,19.0,27.0,Starter,60,3469.3833333333,0.903,2.73,123.19,158,31,1978-02-13,FIN,FIN,74,192,-,-,-,8473404,26,23,8,2,"[55, 85, 17]","[43, 52, 23]","[79, 95, 55]","['MIN', 'MIN', 'MIN']"
2009-2010,Nikolai Khabibulin,EDM,G,23.0,19.0,51.0,26.0,43.0,12.0,42.0,47.0,19.0,32.0,34.0,5.0,29.0,Backup,18,1089.1166666667,0.909,3.03,48.93,55,36,1973-01-13,RUS,RUS,73,208,1992,9,204,8459140,7,9,2,0,"[67, 90, 38]","[62, 87, 55]","[78, 60, 17]","['CHI', 'CHI', 'EDM']"
2009-2010,Ondrej Pavelec,ATL,G,25.0,41.0,4.0,36.0,30.0,43.0,53.0,60.0,46.0,53.0,53.0,42.0,47.0,Tandem (1A),42,2317.1333333333,0.906,3.29,123.28,127,22,1987-08-31,CZE,CZE,75,212,2005,2,41,8471715,14,18,7,2,"[None, None, 52]","[None, None, 40]","[None, None, 83]","[None, None, 'ATL']"
2009-2010,Pascal Leclaire,OTT,G,57.0,60.0,31.0,60.0,42.0,59.0,45.0,10.0,50.0,54.0,54.0,58.0,57.0,Tandem (1B),34,1744.8,0.887,3.2,75.91,93,26,1982-11-07,CAN,CAN,74,202,2001,1,8,8469461,12,14,2,0,"[69, None, 2]","[64, None, 0]","[53, None, 47]","['CBJ', None, 'OTT']"
2009-2010,Patrick Lalime,BUF,G,47.0,59.0,30.0,4.0,48.0,60.0,9.0,30.0,52.0,27.0,28.0,41.0,56.0,Backup,16,853.78333333333,0.907,2.81,38.53,40,35,1974-07-07,CAN,CAN,75,192,1993,6,156,8459579,4,8,2,0,"[26, 21, 35]","[50, 3, 12]","[16, 81, 42]","['CHI', 'BUF', 'BUF']"
2009-2010,Pekka Rinne,NSH,G,22.0,12.0,39.0,15.0,19.0,22.0,18.0,24.0,41.0,24.0,25.0,26.0,15.0,Starter,58,3245.6833333333,0.911,2.53,130.83,137,26,1982-11-03,FIN,FIN,77,217,2004,8,258,8471469,32,16,5,7,"[None, 81, 45]","[None, 74, 68]","[None, 85, 25]","[None, 'NSH', 'NSH']"
2009-2010,Peter Budaj,COL,G,34.0,18.0,57.0,2.0,11.0,48.0,60.0,42.0,30.0,35.0,22.0,15.0,40.0,Backup,15,727.61666666667,0.917,2.64,33.17,32,26,1982-09-18,SVK,SVK,73,196,2001,2,63,8469514,5,5,2,1,"[24, 16, 73]","[29, 6, 95]","[7, 23, 2]","['COL', 'COL', 'COL']"
2009-2010,Ray Emery,PHI,G,53.0,21.0,59.0,16.0,21.0,26.0,48.0,13.0,37.0,41.0,41.0,50.0,32.0,Backup,29,1683.55,0.906,2.64,71.81,74,26,1982-09-28,CAN,CAN,74,196,2001,4,99,8469548,16,11,1,3,"[9, None, 22]","[14, None, 82]","[10, None, 5]","['OTT', None, 'PHI']"
2009-2010,Roberto Luongo,VAN,G,12.0,7.0,42.0,25.0,5.0,13.0,29.0,29.0,12.0,14.0,14.0,16.0,11.0,Starter,68,3879.7,0.913,2.58,162.75,167,30,1979-04-04,CAN,CAN,75,215,1997,1,4,8466141,40,22,4,4,"[64, 89, 68]","[55, 95, 77]","[48, 44, 33]","['VAN', 'VAN', 'VAN']"
2009-2010,Ryan Miller,BUF,G,4.0,8.0,5.0,44.0,14.0,7.0,10.0,40.0,3.0,3.0,3.0,3.0,3.0,Starter,69,4048.0333333333,0.929,2.22,174.43,150,29,1980-07-17,USA,USA,75,170,1999,5,138,8468011,41,18,8,5,"[40, 77, 98]","[45, 76, 85]","[57, 68, 97]","['BUF', 'BUF', 'BUF']"
2009-2010,Scott Clemmensen,FLA,G,17.0,32.0,13.0,10.0,50.0,30.0,15.0,49.0,16.0,45.0,45.0,27.0,26.0,Backup,23,1215.35,0.912,2.91,54.97,59,32,1977-07-23,USA,USA,74,200,1997,8,215,8466339,9,8,2,1,"[None, 69, 67]","[None, 73, 35]","[None, 47, 87]","[None, 'NJD', 'FLA']"
2009-2010,Semyon Varlamov,WSH,G,21.0,6.0,56.0,55.0,29.0,1.0,40.0,14.0,38.0,48.0,49.0,37.0,17.0,Backup,26,1527.4333333333,0.909,2.55,61.06,65,21,1988-04-27,RUS,RUS,74,206,2006,1,23,8473575,15,4,6,2,"[None, None, 57]","[None, None, 87]","[None, None, 8]","[None, None, 'WSH']"
2009-2010,Steve Mason,CBJ,G,44.0,44.0,44.0,21.0,57.0,20.0,5.0,23.0,35.0,42.0,42.0,33.0,37.0,Starter,58,3203.0333333333,0.901,3.05,134.49,163,21,1988-05-29,CAN,CAN,76,188,2006,3,69,8473461,20,26,9,5,"[None, 76, 15]","[None, 66, 25]","[None, 65, 28]","[None, 'CBJ', 'CBJ']"
2009-2010,Thomas Greiss,SJS,G,11.0,14.0,8.0,6.0,35.0,19.0,56.0,54.0,24.0,40.0,40.0,24.0,34.0,Backup,16,782.4,0.912,2.68,36.95,35,23,1986-01-29,DEU,DEU,74,219,2004,3,94,8471306,7,4,1,0,"[None, None, 77]","[None, None, 73]","[None, None, 80]","[None, None, 'SJS']"
2009-2010,Tim Thomas,BOS,G,8.0,22.0,2.0,17.0,9.0,45.0,25.0,28.0,6.0,8.0,8.0,13.0,9.0,Tandem (1A),43,2441.8666666667,0.915,2.56,92.13,104,35,1974-04-15,USA,USA,71,201,1994,9,217,8460703,17,18,8,5,"[90, 98, 62]","[91, 98, 27]","[50, 90, 93]","['BOS', 'BOS', 'BOS']"
2009-2010,Tomas Vokoun,FLA,G,3.0,1.0,47.0,7.0,4.0,5.0,52.0,59.0,14.0,5.0,5.0,4.0,10.0,Starter,63,3695.0166666667,0.925,2.55,175.28,157,33,1976-07-02,CZE,CZE,73,210,1994,9,226,8460712,23,28,11,7,"[76, 95, 93]","[72, 97, 98]","[81, 53, 22]","['FLA', 'FLA', 'FLA']"
2009-2010,Tuukka Rask,BOS,G,1.0,4.0,7.0,29.0,3.0,11.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,Tandem (1A),45,2562.1666666667,0.931,1.97,100.33,84,22,1987-03-10,FIN,FIN,75,176,2005,1,21,8471695,22,12,5,5,"[None, None, 95]","[None, None, 88]","[None, None, 82]","[None, None, 'BOS']"
2009-2010,Ty Conklin,STL,G,10.0,17.0,11.0,50.0,45.0,3.0,6.0,35.0,33.0,22.0,23.0,40.0,12.0,Backup,26,1451.1833333333,0.921,2.48,65.27,60,33,1976-03-30,USA,USA,73,185,-,-,-,8469152,10,10,2,4,"[79, 45, 90]","[90, 45, 70]","[36, 16, 98]","['PIT', 'DET', 'STL']"
2009-2010,Vesa Toskala,CGY,G,60.0,53.0,58.0,57.0,55.0,23.0,3.0,27.0,58.0,58.0,58.0,60.0,59.0,Backup,32,1604.95,0.88,3.48,71.27,93,32,1977-05-20,FIN,FIN,70,198,1995,4,90,8462117,9,12,3,1,"[31, 11, 0]","[33, 13, 8]","[26, 21, 0]","['TOR', 'TOR', 'TOR']"
2009-2010,Vesa Toskala,TOR,G,60.0,53.0,58.0,57.0,55.0,23.0,3.0,27.0,58.0,58.0,58.0,60.0,59.0,Backup,32,1604.95,0.88,3.48,71.27,93,32,1977-05-20,FIN,FIN,70,198,1995,4,90,8462117,9,12,3,1,"[31, 11, 0]","[33, 13, 8]","[26, 21, 0]","['TOR', 'TOR', 'TOR']"
