Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2008-2009,Jaroslav Halak,MTL,G,10.0,12.0,8.0,9.0,22.0,18.0,52.0,62.0,18.0,31.0,32.0,17.0,20.0,Tandem (1B),34,1930.8,0.915,2.86,98.27,92,23,1985-05-13,SVK,SVK,71,189,2003,9,271,8470860,18,14,1,1
2008-2009,Jason LaBarbera,LAK,G,49.0,55.0,17.0,10.0,21.0,62.0,54.0,37.0,22.0,30.0,31.0,42.0,48.0,Backup,28,1446.4333333333,0.901,2.78,57.41,67,28,1980-01-18,CAN,CAN,75,232,1998,3,66,8467391,8,10,6,2
2008-2009,Jason LaBarbera,VAN,G,49.0,55.0,17.0,10.0,21.0,62.0,54.0,37.0,22.0,30.0,31.0,42.0,48.0,Backup,28,1446.4333333333,0.901,2.78,57.41,67,28,1980-01-18,CAN,CAN,75,232,1998,3,66,8467391,8,10,6,2
2008-2009,Jean-Sebastien Giguere,ANA,G,37.0,29.0,36.0,43.0,54.0,9.0,22.0,28.0,47.0,41.0,41.0,31.0,32.0,Tandem (1A),46,2458.4,0.9,3.1,108.73,127,31,1977-05-16,CAN,CAN,73,202,1995,1,13,8462044,19,18,6,2
2008-2009,Joey MacDonald,NYI,G,46.0,50.0,20.0,60.0,49.0,45.0,49.0,59.0,57.0,56.0,56.0,39.0,55.0,Tandem (1A),49,2772.7666666667,0.901,3.4,132.66,157,28,1980-02-07,CAN,CAN,72,197,-,-,-,8469732,14,26,6,1
2008-2009,Johan Hedberg,ATL,G,59.0,54.0,59.0,20.0,35.0,58.0,32.0,51.0,59.0,58.0,57.0,58.0,57.0,Tandem (1B),33,1716.75,0.886,3.49,78.15,100,35,1973-05-05,SWE,SWE,72,190,1994,9,218,8460704,13,12,3,0
2008-2009,Jonas Hiller,ANA,G,5.0,7.0,6.0,33.0,15.0,7.0,36.0,12.0,10.0,12.0,12.0,11.0,17.0,Tandem (1A),46,2487.4,0.919,2.39,112.94,99,26,1982-02-12,CHE,CHE,74,191,-,-,-,8473972,23,15,1,4
2008-2009,Jonathan Quick,LAK,G,25.0,24.0,25.0,37.0,25.0,21.0,15.0,14.0,37.0,19.0,19.0,26.0,23.0,Tandem (1A),44,2489.75,0.914,2.48,106.22,103,22,1986-01-21,USA,USA,73,220,2005,3,72,8471734,21,18,2,4
2008-2009,Jose Theodore,WSH,G,42.0,42.0,42.0,50.0,33.0,32.0,26.0,20.0,38.0,51.0,51.0,45.0,31.0,Starter,57,3287.1166666667,0.9,2.87,141.73,157,31,1976-09-13,CAN,CAN,71,172,1994,2,44,8460535,32,17,5,2
2008-2009,Josh Harding,MIN,G,6.0,30.0,1.0,32.0,50.0,20.0,11.0,44.0,15.0,1.0,1.0,3.0,42.0,Backup,19,849.81666666667,0.929,2.26,38.15,32,24,1984-06-18,CAN,CAN,74,194,2002,2,38,8470216,3,9,1,0
2008-2009,Kari Lehtonen,ATL,G,12.0,4.0,32.0,4.0,5.0,40.0,56.0,61.0,23.0,7.0,7.0,7.0,30.0,Tandem (1A),46,2624.8833333333,0.911,3.06,127.19,134,24,1983-11-16,FIN,FIN,76,209,2002,1,2,8470140,19,22,3,3
2008-2009,Karri Ramo,TBL,G,55.0,44.0,50.0,57.0,4.0,56.0,33.0,57.0,58.0,50.0,50.0,25.0,58.0,Backup,24,1312.7833333333,0.894,3.66,64.05,80,22,1986-07-01,FIN,FIN,74,206,2004,6,191,8471403,4,10,7,0
2008-2009,Kevin Weekes,NJD,G,7.0,6.0,26.0,47.0,45.0,1.0,12.0,38.0,2.0,4.0,4.0,9.0,24.0,Backup,16,794.61666666667,0.92,2.42,30.12,32,33,1975-04-04,CAN,CAN,74,215,1993,2,41,8459463,7,5,0,0
2008-2009,Manny Fernandez,BOS,G,22.0,17.0,56.0,53.0,28.0,5.0,7.0,33.0,29.0,16.0,16.0,35.0,22.0,Backup,28,1644.0666666667,0.91,2.59,71.19,71,34,1974-08-27,CAN,CAN,72,207,1992,3,52,8458988,16,8,3,1
2008-2009,Manny Legace,STL,G,57.0,59.0,33.0,55.0,57.0,57.0,16.0,5.0,56.0,52.0,52.0,54.0,53.0,Backup,29,1452.3166666667,0.885,3.18,49.97,77,35,1973-02-04,CAN,CAN,70,200,1993,8,188,8459308,13,9,2,0
2008-2009,Marc-Andre Fleury,PIT,G,19.0,15.0,31.0,35.0,17.0,19.0,42.0,36.0,44.0,35.0,35.0,20.0,14.0,Starter,62,3641.5,0.912,2.67,152.81,162,23,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594,35,18,7,4
2008-2009,Martin Biron,PHI,G,24.0,41.0,11.0,11.0,27.0,54.0,43.0,55.0,35.0,23.0,23.0,18.0,18.0,Starter,55,3156.5166666667,0.915,2.78,147.85,146,31,1977-08-15,CAN,CAN,74,186,1995,1,16,8462047,29,19,5,2
2008-2009,Martin Brodeur,NJD,G,14.0,11.0,43.0,24.0,11.0,23.0,13.0,10.0,3.0,9.0,9.0,12.0,4.0,Backup,31,1813.5833333333,0.916,2.42,69.73,73,36,1972-05-06,CAN,CAN,74,220,1990,1,20,8455710,19,9,3,5
2008-2009,Martin Gerber,OTT,G,39.0,46.0,39.0,27.0,52.0,41.0,35.0,54.0,39.0,32.0,33.0,49.0,46.0,Backup,26,1546.05,0.902,3.03,68.51,78,33,1974-09-03,CHE,CHE,72,205,2001,8,232,8469675,10,14,1,1
2008-2009,Martin Gerber,TOR,G,39.0,46.0,39.0,27.0,52.0,41.0,35.0,54.0,39.0,32.0,33.0,49.0,46.0,Backup,26,1546.05,0.902,3.03,68.51,78,33,1974-09-03,CHE,CHE,72,205,2001,8,232,8469675,10,14,1,1
2008-2009,Marty Turco,DAL,G,45.0,51.0,48.0,44.0,40.0,52.0,30.0,7.0,48.0,54.0,54.0,43.0,44.0,Starter,74,4327.25,0.898,2.81,169.77,203,33,1975-08-13,CAN,CAN,71,184,1994,5,124,8460612,33,31,10,3
2008-2009,Mathieu Garon,EDM,G,53.0,47.0,60.0,18.0,26.0,53.0,59.0,32.0,26.0,47.0,47.0,44.0,47.0,Backup,19,1020.5666666667,0.894,3.12,46.64,53,30,1978-01-09,CAN,CAN,73,198,1996,2,44,8464999,8,9,0,0
2008-2009,Mathieu Garon,PIT,G,53.0,47.0,60.0,18.0,26.0,53.0,59.0,32.0,26.0,47.0,47.0,44.0,47.0,Backup,19,1020.5666666667,0.894,3.12,46.64,53,30,1978-01-09,CAN,CAN,73,198,1996,2,44,8464999,8,9,0,0
2008-2009,Michael Leighton,CAR,G,51.0,56.0,46.0,22.0,8.0,59.0,62.0,42.0,53.0,37.0,37.0,40.0,54.0,Backup,19,1028.85,0.901,2.92,49.02,50,27,1981-05-19,CAN,CAN,75,186,1999,6,165,8468038,6,7,2,0
2008-2009,Miikka Kiprusoff,CGY,G,43.0,49.0,12.0,58.0,46.0,36.0,28.0,17.0,45.0,29.0,30.0,32.0,28.0,Starter,76,4418.65,0.903,2.84,187.73,209,31,1976-10-26,FIN,FIN,73,185,1995,5,116,8462147,45,24,5,4
2008-2009,Mikael Tellqvist,BUF,G,32.0,8.0,55.0,1.0,2.0,50.0,3.0,45.0,30.0,43.0,43.0,48.0,36.0,Backup,21,1025.2,0.912,2.75,41.91,47,28,1979-09-19,SWE,SWE,72,189,2000,3,70,8468550,9,6,1,0
2008-2009,Mikael Tellqvist,PHX,G,32.0,8.0,55.0,1.0,2.0,50.0,3.0,45.0,30.0,43.0,43.0,48.0,36.0,Backup,21,1025.2,0.912,2.75,41.91,47,28,1979-09-19,SWE,SWE,72,189,2000,3,70,8468550,9,6,1,0
2008-2009,Mike McKenna,TBL,G,58.0,45.0,52.0,54.0,44.0,27.0,9.0,25.0,61.0,59.0,60.0,57.0,60.0,Backup,15,775.85,0.887,3.56,34.26,46,25,1983-04-11,USA,USA,74,183,2002,6,172,8470093,4,8,1,1
2008-2009,Mike Smith,TBL,G,30.0,27.0,44.0,48.0,48.0,13.0,31.0,27.0,25.0,24.0,24.0,21.0,33.0,Tandem (1A),41,2466.35,0.916,2.63,102.92,108,26,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608,14,18,9,2
2008-2009,Niklas Backstrom,MIN,G,15.0,32.0,3.0,3.0,47.0,46.0,25.0,11.0,4.0,5.0,5.0,8.0,5.0,Starter,71,4083.8833333333,0.923,2.34,152.91,159,30,1978-02-13,FIN,FIN,74,192,-,-,-,8473404,37,24,8,8
2008-2009,Nikolai Khabibulin,CHI,G,8.0,13.0,19.0,21.0,9.0,30.0,5.0,31.0,13.0,22.0,22.0,10.0,13.0,Tandem (1A),42,2447.4666666667,0.919,2.35,95.14,96,35,1973-01-13,RUS,RUS,73,208,1992,9,204,8459140,25,8,7,3
2008-2009,Patrick Lalime,BUF,G,50.0,60.0,16.0,19.0,58.0,60.0,1.0,29.0,50.0,44.0,44.0,55.0,56.0,Backup,24,1296.7,0.9,3.1,51.96,67,34,1974-07-07,CAN,CAN,75,192,1993,6,156,8459579,5,13,3,0
2008-2009,Pekka Rinne,NSH,G,11.0,14.0,7.0,23.0,10.0,25.0,34.0,43.0,8.0,13.0,13.0,9.0,6.0,Starter,52,2979.2,0.917,2.4,124.06,119,25,1982-11-03,FIN,FIN,77,217,2004,8,258,8471469,29,15,4,7
2008-2009,Peter Budaj,COL,G,54.0,57.0,53.0,41.0,56.0,51.0,60.0,6.0,49.0,48.0,48.0,46.0,49.0,Starter,56,3191.8666666667,0.899,2.89,126.52,154,25,1982-09-18,SVK,SVK,73,196,2001,2,63,8469514,20,29,5,2
2008-2009,Roberto Luongo,VAN,G,9.0,5.0,37.0,29.0,6.0,15.0,45.0,21.0,16.0,18.0,18.0,14.0,3.0,Starter,54,3181.25,0.92,2.34,133.94,124,29,1979-04-04,CAN,CAN,75,215,1997,1,4,8466141,33,13,7,9
2008-2009,Ryan Miller,BUF,G,21.0,19.0,21.0,36.0,30.0,16.0,8.0,34.0,20.0,8.0,8.0,16.0,15.0,Starter,59,3403.9333333333,0.918,2.56,136.48,145,28,1980-07-17,USA,USA,75,170,1999,5,138,8468011,34,18,6,5
2008-2009,Scott Clemmensen,NJD,G,18.0,16.0,38.0,16.0,19.0,28.0,14.0,8.0,12.0,21.0,21.0,9.0,7.0,Tandem (1B),40,2356.15,0.917,2.39,82.55,94,31,1977-07-23,USA,USA,74,200,1997,8,215,8466339,25,13,1,2
2008-2009,Steve Mason,CBJ,G,16.0,18.0,22.0,42.0,39.0,6.0,4.0,4.0,32.0,40.0,40.0,36.0,8.0,Starter,61,3663.6166666667,0.916,2.29,142.11,140,20,1988-05-29,CAN,CAN,76,188,2006,3,69,8473461,33,20,7,10
2008-2009,Steve Valiquette,NYR,G,23.0,40.0,14.0,40.0,24.0,39.0,39.0,49.0,17.0,45.0,45.0,33.0,38.0,Backup,15,803.08333333333,0.907,2.91,36.04,39,31,1977-08-20,CAN,CAN,78,210,1996,8,190,8465161,5,5,2,1
2008-2009,Tim Thomas,BOS,G,2.0,1.0,9.0,6.0,1.0,10.0,38.0,47.0,1.0,2.0,2.0,1.0,1.0,Starter,54,3258.9833333333,0.933,2.1,141.19,114,34,1974-04-15,USA,USA,71,201,1994,9,217,8460703,36,11,7,5
2008-2009,Tomas Vokoun,FLA,G,3.0,3.0,23.0,5.0,14.0,17.0,50.0,58.0,11.0,3.0,3.0,2.0,10.0,Starter,59,3324.05,0.926,2.49,149.59,138,32,1976-07-02,CZE,CZE,73,210,1994,9,226,8460712,26,23,6,6
2008-2009,Ty Conklin,DET,G,28.0,20.0,49.0,39.0,23.0,22.0,10.0,18.0,36.0,28.0,28.0,37.0,9.0,Tandem (1B),40,2226.0333333333,0.909,2.53,79.78,94,32,1976-03-30,USA,USA,73,185,-,-,-,8469152,25,11,2,6
2008-2009,Vesa Toskala,TOR,G,56.0,52.0,51.0,59.0,53.0,35.0,24.0,39.0,51.0,53.0,53.0,53.0,51.0,Starter,53,3036.4166666667,0.891,3.28,138.33,166,31,1977-05-20,FIN,FIN,70,198,1995,4,90,8462117,22,17,11,1
2008-2009,Yann Danis,NYI,G,17.0,10.0,45.0,17.0,51.0,2.0,61.0,56.0,6.0,26.0,26.0,28.0,45.0,Backup,31,1760.1166666667,0.91,2.86,86.09,84,27,1981-06-21,CAN,CAN,71,180,-,-,-,8471186,10,17,3,2
