Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2007-2008,Cristobal Huet,MTL,G,10.0,9.0,21.0,29.0,11.0,14.0,43.0,31.0,10.0,12.0,12.0,9.0,2.0,Starter,52,3009.5333333333,0.92,2.35,124.57,118,31,1975-09-03,FRA,FRA,73,205,2001,7,214,8469658,32,14,6,4,[83],[84],[64],['WSH']
2007-2008,Cristobal Huet,WSH,G,10.0,9.0,21.0,29.0,11.0,14.0,43.0,31.0,10.0,12.0,12.0,9.0,2.0,Starter,52,3009.5333333333,0.92,2.35,124.57,118,31,1975-09-03,FRA,FRA,73,205,2001,7,214,8469658,32,14,6,4,[83],[84],[64],['WSH']
2007-2008,Curtis Sanford,VAN,G,46.0,47.0,26.0,47.0,51.0,36.0,39.0,16.0,27.0,36.0,36.0,37.0,53.0,Backup,16,677.01666666667,0.897,2.84,26.41,32,27,1979-10-05,CAN,CAN,71,187,-,-,-,8468166,4,3,1,0,[21],[19],[55],['VAN']
2007-2008,Dan Ellis,NSH,G,9.0,14.0,4.0,13.0,31.0,21.0,38.0,41.0,18.0,27.0,27.0,20.0,3.0,Tandem (1A),44,2228.55,0.924,2.34,92.61,87,27,1980-06-19,CAN,CAN,73,195,2000,2,60,8468540,23,10,3,6,[84],[76],[93],['NSH']
2007-2008,Dany Sabourin,PIT,G,35.0,44.0,54.0,40.0,47.0,30.0,56.0,34.0,35.0,24.0,24.0,37.0,37.0,Backup,24,1221.5166666667,0.904,2.8,51.04,57,26,1980-09-02,CAN,CAN,76,204,1998,4,108,8467430,10,9,1,2,[40],[24],[7],['PIT']
2007-2008,Dominik Hasek,DET,G,38.0,26.0,46.0,37.0,49.0,8.0,1.0,1.0,42.0,37.0,37.0,32.0,20.0,Tandem (1A),41,2350.0666666667,0.902,2.14,77.0,84,42,1965-01-29,CZE,CZE,73,166,1983,10,199,8447687,27,10,3,5,[34],[55],[21],['DET']
2007-2008,Dwayne Roloson,EDM,G,42.0,49.0,25.0,33.0,52.0,47.0,52.0,35.0,54.0,52.0,53.0,53.0,47.0,Tandem (1A),43,2340.2,0.901,3.05,102.11,119,37,1969-10-12,CAN,CAN,73,170,-,-,-,8460806,15,17,5,0,[28],[16],[57],['EDM']
2007-2008,Erik Ersberg,LAK,G,14.0,5.0,55.0,10.0,6.0,13.0,28.0,46.0,11.0,15.0,15.0,24.0,14.0,Backup,14,798.98333333333,0.927,2.48,36.73,33,25,1982-03-08,SWE,SWE,72,165,-,-,-,8473975,6,5,3,2,[76],[91],[5],['LAK']
2007-2008,Evgeni Nabokov,SJS,G,31.0,41.0,6.0,16.0,41.0,44.0,16.0,2.0,28.0,29.0,29.0,25.0,17.0,Starter,77,4495.55,0.91,2.18,156.03,163,32,1975-07-25,KAZ,RUS,72,202,1994,9,219,8460705,46,21,8,6,[47],[29],[90],['SJS']
2007-2008,Fredrik Norrena,CBJ,G,54.0,56.0,32.0,36.0,53.0,45.0,3.0,10.0,53.0,44.0,42.0,38.0,50.0,Tandem (1B),37,1961.1166666667,0.896,2.72,66.47,89,33,1973-11-29,FIN,FIN,72,190,2002,7,213,8470090,10,19,6,2,[7],[3],[45],['CBJ']
2007-2008,Hannu Toivonen,STL,G,48.0,52.0,7.0,58.0,58.0,34.0,45.0,44.0,56.0,56.0,56.0,54.0,55.0,Backup,23,1202.4833333333,0.878,3.44,57.38,69,23,1984-05-18,FIN,FIN,74,200,2002,1,29,8470084,6,10,5,0,[17],[10],[88],['STL']
2007-2008,Henrik Lundqvist,NYR,G,6.0,6.0,18.0,51.0,16.0,2.0,23.0,18.0,12.0,23.0,23.0,23.0,15.0,Starter,72,4284.8,0.912,2.24,172.58,160,25,1982-03-02,SWE,SWE,73,182,2000,7,205,8468685,37,24,10,10,[90],[90],[69],['NYR']
2007-2008,Ilya Bryzgalov,ANA,G,4.0,4.0,40.0,25.0,4.0,16.0,37.0,45.0,21.0,10.0,10.0,7.0,21.0,Starter,64,3574.4166666667,0.92,2.47,159.29,147,27,1980-06-22,RUS,RUS,75,213,2000,2,44,8468524,28,25,6,3,[93],[93],[31],['PHX']
2007-2008,Ilya Bryzgalov,PHX,G,4.0,4.0,40.0,25.0,4.0,16.0,37.0,45.0,21.0,10.0,10.0,7.0,21.0,Starter,64,3574.4166666667,0.92,2.47,159.29,147,27,1980-06-22,RUS,RUS,75,213,2000,2,44,8468524,28,25,6,3,[93],[93],[31],['PHX']
2007-2008,Jason LaBarbera,LAK,G,7.0,17.0,5.0,22.0,10.0,51.0,57.0,58.0,31.0,38.0,38.0,30.0,38.0,Tandem (1A),45,2420.7,0.91,3.0,124.18,121,27,1980-01-18,CAN,CAN,75,232,1998,3,66,8467391,17,23,2,1,[88],[71],[91],['LAK']
2007-2008,Jean-Sebastien Aubin,LAK,G,47.0,51.0,22.0,48.0,57.0,48.0,58.0,38.0,49.0,54.0,55.0,55.0,54.0,Backup,19,827.3,0.886,3.19,36.59,44,30,1977-07-19,CAN,CAN,71,180,1995,3,76,8462102,5,6,1,0,[19],[12],[62],['LAK']
2007-2008,Jean-Sebastien Giguere,ANA,G,8.0,2.0,42.0,18.0,34.0,1.0,14.0,21.0,2.0,2.0,2.0,4.0,1.0,Starter,58,3285.4166666667,0.922,2.14,126.83,117,30,1977-05-16,CAN,CAN,73,202,1995,1,13,8462044,35,17,6,4,[86],[97],[28],['ANA']
2007-2008,Johan Hedberg,ATL,G,57.0,55.0,57.0,23.0,36.0,57.0,34.0,39.0,55.0,55.0,52.0,52.0,51.0,Tandem (1B),36,1927.2333333333,0.892,3.46,79.06,111,34,1973-05-05,SWE,SWE,72,190,1994,9,218,8460704,14,15,3,1,[2],[5],[2],['ATL']
2007-2008,Johan Holmqvist,DAL,G,56.0,58.0,33.0,43.0,44.0,56.0,7.0,8.0,57.0,45.0,45.0,48.0,48.0,Tandem (1A),47,2548.2666666667,0.889,3.04,91.06,129,29,1978-05-24,SWE,SWE,75,198,1997,7,175,8466303,21,16,6,2,[3],[0],[43],['TBL']
2007-2008,Johan Holmqvist,TBL,G,56.0,58.0,33.0,43.0,44.0,56.0,7.0,8.0,57.0,45.0,45.0,48.0,48.0,Tandem (1A),47,2548.2666666667,0.889,3.04,91.06,129,29,1978-05-24,SWE,SWE,75,198,1997,7,175,8466303,21,16,6,2,[3],[0],[43],['TBL']
2007-2008,John Grahame,CAR,G,58.0,35.0,58.0,28.0,43.0,43.0,55.0,53.0,52.0,43.0,44.0,51.0,56.0,Backup,17,827.51666666667,0.875,3.84,38.13,53,32,1975-08-31,USA,USA,75,220,1994,9,229,8460715,5,7,1,0,[0],[40],[0],['CAR']
2007-2008,Jonas Hiller,ANA,G,2.0,12.0,1.0,57.0,12.0,4.0,36.0,22.0,4.0,6.0,6.0,10.0,22.0,Backup,23,1223.1166666667,0.927,2.06,53.49,42,25,1982-02-12,CHE,CHE,74,191,-,-,-,8473972,10,7,1,0,[97],[79],[98],['ANA']
2007-2008,Jose Theodore,COL,G,27.0,30.0,16.0,45.0,35.0,18.0,44.0,26.0,17.0,14.0,14.0,22.0,24.0,Starter,53,3028.0833333333,0.91,2.44,117.79,123,30,1976-09-13,CAN,CAN,71,172,1994,2,44,8460535,28,21,3,3,[53],[48],[72],['COL']
2007-2008,Josh Harding,MIN,G,40.0,42.0,23.0,8.0,56.0,20.0,30.0,51.0,37.0,31.0,31.0,33.0,40.0,Backup,29,1572.85,0.908,2.94,65.99,77,23,1984-06-18,CAN,CAN,74,194,2002,2,38,8470216,11,15,2,1,[31],[28],[60],['MIN']
2007-2008,Kari Lehtonen,ATL,G,21.0,28.0,20.0,14.0,7.0,40.0,47.0,57.0,13.0,19.0,19.0,17.0,28.0,Tandem (1A),48,2710.1333333333,0.916,2.9,122.03,131,23,1983-11-16,FIN,FIN,76,209,2002,1,2,8470140,17,22,5,4,[64],[52],[66],['ATL']
2007-2008,Karri Ramo,TBL,G,52.0,48.0,48.0,53.0,30.0,33.0,27.0,43.0,51.0,40.0,40.0,35.0,49.0,Backup,22,1268.7166666667,0.899,3.03,48.94,64,21,1986-07-01,FIN,FIN,74,206,2004,6,191,8471403,7,11,3,0,[10],[17],[17],['TBL']
2007-2008,Manny Legace,STL,G,23.0,15.0,17.0,42.0,15.0,6.0,8.0,14.0,16.0,16.0,16.0,30.0,29.0,Starter,66,3645.6833333333,0.911,2.42,142.35,147,34,1973-02-04,CAN,CAN,70,200,1993,8,188,8459308,27,25,8,5,[60],[74],[71],['STL']
2007-2008,Marc-Andre Fleury,PIT,G,11.0,7.0,27.0,12.0,33.0,5.0,40.0,23.0,15.0,18.0,18.0,15.0,9.0,Tandem (1B),35,1857.4333333333,0.921,2.33,77.57,72,22,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594,19,10,2,4,[81],[88],[53],['PIT']
2007-2008,Martin Biron,PHI,G,19.0,19.0,36.0,5.0,28.0,29.0,25.0,42.0,23.0,22.0,22.0,29.0,13.0,Starter,62,3499.0666666667,0.918,2.62,147.98,153,30,1977-08-15,CAN,CAN,74,186,1995,1,16,8462047,30,20,9,5,[67],[67],[38],['PHI']
2007-2008,Martin Brodeur,NJD,G,16.0,23.0,9.0,49.0,21.0,11.0,9.0,9.0,3.0,1.0,1.0,2.0,6.0,Starter,77,4613.1666666667,0.92,2.19,170.63,168,35,1972-05-06,CAN,CAN,74,220,1990,1,20,8455710,44,27,6,4,[72],[60],[84],['NJD']
2007-2008,Martin Gerber,OTT,G,15.0,16.0,19.0,50.0,5.0,25.0,46.0,49.0,29.0,26.0,26.0,26.0,26.0,Starter,57,3197.1166666667,0.91,2.72,144.89,145,32,1974-09-03,CHE,CHE,72,205,2001,8,232,8469675,30,18,4,2,[74],[72],[67],['OTT']
2007-2008,Marty Turco,DAL,G,25.0,33.0,10.0,30.0,37.0,32.0,19.0,4.0,36.0,42.0,43.0,31.0,27.0,Starter,62,3628.5166666667,0.909,2.31,137.29,140,32,1975-08-13,CAN,CAN,71,184,1994,5,124,8460612,32,21,6,3,[57],[43],[83],['DAL']
2007-2008,Mathieu Garon,EDM,G,18.0,38.0,2.0,17.0,38.0,54.0,48.0,33.0,30.0,25.0,25.0,21.0,19.0,Tandem (1A),47,2655.5666666667,0.913,2.67,117.49,118,29,1978-01-09,CAN,CAN,73,198,1996,2,44,8464999,26,18,1,4,[69],[34],[97],['EDM']
2007-2008,Miikka Kiprusoff,CGY,G,43.0,40.0,45.0,41.0,40.0,15.0,10.0,17.0,40.0,35.0,35.0,41.0,30.0,Starter,76,4378.3166666667,0.906,2.7,166.19,197,30,1976-10-26,FIN,FIN,73,185,1995,5,116,8462147,39,26,10,2,[26],[31],[22],['CGY']
2007-2008,Mikael Tellqvist,PHX,G,37.0,20.0,44.0,7.0,13.0,46.0,15.0,28.0,22.0,40.0,40.0,42.0,34.0,Backup,22,1224.0666666667,0.908,2.74,48.96,56,27,1979-09-19,SWE,SWE,72,189,2000,3,70,8468550,9,8,2,2,[36],[66],[24],['PHX']
2007-2008,Mike Smith,DAL,G,45.0,53.0,31.0,15.0,55.0,50.0,17.0,20.0,43.0,50.0,50.0,47.0,41.0,Tandem (1B),34,1945.6833333333,0.901,2.59,69.0,84,25,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608,15,19,0,3,[22],[9],[47],['TBL']
2007-2008,Mike Smith,TBL,G,45.0,53.0,31.0,15.0,55.0,50.0,17.0,20.0,43.0,50.0,50.0,47.0,41.0,Tandem (1B),34,1945.6833333333,0.901,2.59,69.0,84,25,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608,15,19,0,3,[22],[9],[47],['TBL']
2007-2008,Niklas Backstrom,MIN,G,30.0,37.0,13.0,4.0,42.0,37.0,12.0,11.0,6.0,11.0,11.0,12.0,4.0,Starter,58,3408.6333333333,0.92,2.31,122.71,131,29,1978-02-13,FIN,FIN,74,192,-,-,-,8473404,33,13,8,4,[48],[36],[78],['MIN']
2007-2008,Nikolai Khabibulin,CHI,G,28.0,32.0,14.0,20.0,26.0,28.0,2.0,40.0,26.0,32.0,32.0,14.0,32.0,Starter,50,2873.8166666667,0.908,2.65,118.85,127,34,1973-01-13,RUS,RUS,73,208,1992,9,204,8459140,23,20,6,2,[52],[45],[76],['CHI']
2007-2008,Olie Kolzig,WSH,G,51.0,50.0,47.0,24.0,45.0,53.0,13.0,6.0,48.0,49.0,49.0,44.0,46.0,Starter,54,3153.6333333333,0.892,2.91,121.41,153,37,1970-04-06,ZAF,DEU,75,224,1989,1,19,8448535,25,21,6,1,[12],[14],[19],['WSH']
2007-2008,Pascal Leclaire,CBJ,G,29.0,31.0,34.0,31.0,9.0,26.0,5.0,3.0,25.0,33.0,33.0,19.0,12.0,Starter,54,2986.1166666667,0.919,2.23,103.77,111,24,1982-11-07,CAN,CAN,74,202,2001,1,8,8469461,24,17,6,9,[50],[47],[41],['CBJ']
2007-2008,Patrick Lalime,CHI,G,49.0,34.0,56.0,27.0,20.0,38.0,6.0,32.0,39.0,47.0,47.0,46.0,44.0,Backup,32,1828.1,0.897,2.82,68.91,86,33,1974-07-07,CAN,CAN,75,192,1993,6,156,8459579,16,12,2,1,[16],[41],[3],['CHI']
2007-2008,Peter Budaj,COL,G,44.0,39.0,50.0,38.0,29.0,42.0,33.0,7.0,47.0,41.0,41.0,36.0,39.0,Tandem (1B),35,1911.5166666667,0.903,2.57,69.54,82,24,1982-09-18,SVK,SVK,73,196,2001,2,63,8469514,16,10,4,0,[24],[33],[14],['COL']
2007-2008,Ray Emery,OTT,G,55.0,54.0,53.0,55.0,19.0,55.0,26.0,13.0,46.0,51.0,51.0,49.0,52.0,Backup,31,1688.3833333333,0.89,3.13,64.42,88,24,1982-09-28,CAN,CAN,74,196,2001,4,99,8469548,12,13,4,0,[5],[7],[9],['OTT']
2007-2008,Rick DiPietro,NYI,G,33.0,24.0,24.0,34.0,50.0,3.0,24.0,29.0,50.0,48.0,48.0,43.0,43.0,Starter,63,3707.2166666667,0.902,2.82,156.84,174,25,1981-09-19,USA,USA,72,185,2000,1,1,8468481,26,28,7,3,[43],[59],[59],['NYI']
2007-2008,Roberto Luongo,VAN,G,12.0,13.0,29.0,1.0,32.0,41.0,31.0,19.0,19.0,3.0,3.0,5.0,16.0,Starter,73,4172.4333333333,0.917,2.42,175.17,168,28,1979-04-04,CAN,CAN,75,215,1997,1,4,8466141,35,29,9,6,[79],[78],[50],['VAN']
2007-2008,Ryan Miller,BUF,G,41.0,36.0,37.0,44.0,18.0,31.0,18.0,24.0,38.0,39.0,39.0,40.0,33.0,Starter,76,4474.3,0.906,2.64,169.83,197,27,1980-07-17,USA,USA,75,170,1999,5,138,8468011,36,27,10,3,[29],[38],[36],['BUF']
2007-2008,Steve Valiquette,NYR,G,34.0,43.0,43.0,46.0,46.0,19.0,11.0,12.0,24.0,28.0,28.0,39.0,25.0,Backup,13,685.58333333333,0.916,2.19,22.98,25,30,1977-08-20,CAN,CAN,78,210,1996,8,190,8465161,5,3,3,2,[41],[26],[26],['NYR']
2007-2008,Tim Thomas,BOS,G,17.0,8.0,35.0,6.0,14.0,10.0,32.0,36.0,1.0,4.0,4.0,3.0,10.0,Starter,57,3341.9833333333,0.921,2.44,134.28,136,33,1974-04-15,USA,USA,71,201,1994,9,217,8460703,28,19,6,3,[71],[86],[40],['BOS']
2007-2008,Tomas Vokoun,FLA,G,13.0,18.0,8.0,9.0,25.0,23.0,41.0,52.0,7.0,5.0,5.0,6.0,18.0,Starter,69,3991.3666666667,0.919,2.71,180.27,180,31,1976-07-02,CZE,CZE,73,210,1994,9,226,8460712,30,29,8,4,[78],[69],[86],['FLA']
2007-2008,Ty Conklin,PIT,G,20.0,10.0,41.0,2.0,2.0,39.0,42.0,47.0,20.0,9.0,9.0,18.0,8.0,Tandem (1B),33,1865.55,0.923,2.51,75.45,78,31,1976-03-30,USA,USA,73,185,-,-,-,8469152,18,8,5,2,[66],[83],[29],['PIT']
2007-2008,Vesa Toskala,TOR,G,24.0,25.0,30.0,54.0,22.0,22.0,29.0,25.0,33.0,20.0,20.0,16.0,34.0,Starter,66,3799.5666666667,0.904,2.76,167.51,175,30,1977-05-20,FIN,FIN,70,198,1995,4,90,8462117,33,25,6,3,[59],[57],[48],['TOR']
2007-2008,Wade Dubielewicz,NYI,G,1.0,3.0,3.0,52.0,3.0,7.0,51.0,56.0,14.0,13.0,13.0,8.0,23.0,Backup,20,1132.3833333333,0.919,2.7,64.0,51,28,1979-01-30,CAN,CAN,70,185,-,-,-,8470584,9,9,1,0,[98],[95],[95],['NYI']
