Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2014-2015,Ben Scrivens,EDM,G,59.0,54.0,35.0,60.0,25.0,54.0,51.0,41.0,55.0,53.0,52.0,59.0,57.0,Starter,57,0.89,3.16,134.91,170,27,1986-09-11,CAN,CAN,74,181,-,-,-,-,8475681,https://assets.nhle.com/mugs/nhl/20142015/EDM/8475681.png
2014-2015,Braden Holtby,WSH,G,18.0,15.0,23.0,43.0,31.0,11.0,21.0,37.0,13.0,12.0,12.0,20.0,11.0,Starter,73,0.923,2.23,169.11,157,24,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651,https://assets.nhle.com/mugs/nhl/20142015/WSH/8474651.png
2014-2015,Brian Elliott,STL,G,31.0,36.0,16.0,53.0,8.0,40.0,8.0,2.0,26.0,33.0,35.0,23.0,16.0,1A,46,0.917,2.26,93.96,96,29,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880,https://assets.nhle.com/mugs/nhl/20142015/STL/8470880.png
2014-2015,Calvin Pickard,COL,G,3.0,1.0,57.0,16.0,19.0,3.0,62.0,60.0,3.0,4.0,4.0,16.0,14.0,Backup,16,0.932,2.35,44.03,35,22,1992-04-15,CAN,CAN,73,210,2010,2,19,49,8475717,https://assets.nhle.com/mugs/nhl/20142015/COL/8475717.png
2014-2015,Cam Talbot,NYR,G,4.0,6.0,3.0,11.0,18.0,6.0,11.0,22.0,5.0,3.0,3.0,3.0,4.0,1B,36,0.926,2.21,92.58,77,27,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660,https://assets.nhle.com/mugs/nhl/20142015/NYR/8475660.png
2014-2015,Cam Ward,CAR,G,57.0,53.0,51.0,33.0,38.0,57.0,48.0,13.0,53.0,56.0,57.0,53.0,50.0,Starter,51,0.91,2.41,115.6,121,30,1984-02-29,CAN,CAN,73,194,2002,1,25,25,8470320,https://assets.nhle.com/mugs/nhl/20142015/CAR/8470320.png
2014-2015,Carey Price,MTL,G,6.0,5.0,18.0,3.0,21.0,9.0,56.0,32.0,7.0,11.0,11.0,8.0,3.0,Starter,66,0.933,1.96,169.02,130,27,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679,https://assets.nhle.com/mugs/nhl/20142015/MTL/8471679.png
2014-2015,Carter Hutton,NSH,G,56.0,58.0,33.0,58.0,45.0,47.0,20.0,8.0,56.0,50.0,50.0,40.0,48.0,Backup,18,0.902,2.61,39.21,44,28,1985-12-19,CAN,CAN,72,211,-,-,-,-,8475622,https://assets.nhle.com/mugs/nhl/20142015/NSH/8475622.png
2014-2015,Chad Johnson,NYI,G,52.0,50.0,60.0,51.0,49.0,44.0,45.0,23.0,34.0,49.0,49.0,58.0,44.0,Backup,19,0.889,3.08,42.42,54,28,1986-06-10,CAN,CAN,75,197,2006,5,2,125,8473434,https://assets.nhle.com/mugs/nhl/20142015/NYI/8473434.png
2014-2015,Corey Crawford,CHI,G,10.0,10.0,21.0,10.0,23.0,17.0,16.0,20.0,6.0,6.0,6.0,10.0,12.0,Starter,57,0.924,2.27,135.77,126,29,1984-12-31,CAN,CAN,74,216,2003,2,22,52,8470645,https://assets.nhle.com/mugs/nhl/20142015/CHI/8470645.png
2014-2015,Cory Schneider,NJD,G,5.0,9.0,4.0,23.0,15.0,8.0,7.0,30.0,10.0,9.0,9.0,12.0,23.0,Starter,69,0.925,2.26,163.45,148,28,1986-03-18,USA,USA,75,214,2004,1,26,26,8471239,https://assets.nhle.com/mugs/nhl/20142015/NJD/8471239.png
2014-2015,Craig Anderson,OTT,G,25.0,8.0,52.0,12.0,11.0,53.0,29.0,45.0,38.0,14.0,14.0,6.0,20.0,1B,35,0.923,2.49,88.58,87,33,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950,https://assets.nhle.com/mugs/nhl/20142015/OTT/8467950.png
2014-2015,Curtis McElhinney,CBJ,G,46.0,57.0,9.0,5.0,54.0,49.0,49.0,48.0,51.0,37.0,29.0,32.0,45.0,Backup,32,0.914,2.88,79.45,82,31,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147,https://assets.nhle.com/mugs/nhl/20142015/CBJ/8470147.png
2014-2015,Darcy Kuemper,MIN,G,55.0,56.0,54.0,44.0,62.0,32.0,30.0,4.0,49.0,48.0,48.0,34.0,41.0,Backup,31,0.905,2.63,55.33,68,24,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311,https://assets.nhle.com/mugs/nhl/20142015/MIN/8475311.png
2014-2015,Devan Dubnyk,ARI,G,28.0,30.0,14.0,35.0,30.0,28.0,43.0,39.0,27.0,41.0,41.0,30.0,25.0,Starter,58,0.929,2.08,129.45,115,28,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227,https://assets.nhle.com/mugs/nhl/20142015/ARI/8471227.png
2014-2015,Devan Dubnyk,MIN,G,28.0,30.0,14.0,35.0,30.0,28.0,43.0,39.0,27.0,41.0,41.0,30.0,25.0,Starter,58,0.929,2.08,129.45,115,28,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227,https://assets.nhle.com/mugs/nhl/20142015/MIN/8471227.png
2014-2015,Dustin Tokarski,MTL,G,50.0,59.0,8.0,4.0,2.0,62.0,53.0,47.0,58.0,60.0,60.0,29.0,49.0,Backup,17,0.91,2.76,44.31,46,24,1989-09-16,CAN,CAN,72,198,2008,5,1,122,8474682,https://assets.nhle.com/mugs/nhl/20142015/MTL/8474682.png
2014-2015,Eddie Lack,VAN,G,15.0,28.0,10.0,22.0,13.0,31.0,47.0,44.0,14.0,16.0,16.0,14.0,34.0,1B,41,0.921,2.45,107.34,95,26,1988-01-05,SWE,SWE,76,187,-,-,-,-,8475663,https://assets.nhle.com/mugs/nhl/20142015/VAN/8475663.png
2014-2015,Frederik Andersen,ANA,G,20.0,31.0,6.0,34.0,3.0,46.0,23.0,31.0,12.0,22.0,22.0,26.0,7.0,Starter,54,0.914,2.38,133.39,123,24,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475883.png
2014-2015,Henrik Lundqvist,NYR,G,11.0,13.0,36.0,13.0,16.0,16.0,25.0,34.0,9.0,8.0,8.0,4.0,5.0,1A,46,0.922,2.25,116.34,103,32,1982-03-02,SWE,SWE,73,182,2000,7,8,205,8468685,https://assets.nhle.com/mugs/nhl/20142015/NYR/8468685.png
2014-2015,Jake Allen,STL,G,33.0,37.0,27.0,59.0,20.0,18.0,13.0,6.0,35.0,51.0,51.0,56.0,19.0,1B,37,0.913,2.28,79.88,79,24,1990-08-07,CAN,CAN,74,195,2008,2,4,34,8474596,https://assets.nhle.com/mugs/nhl/20142015/STL/8474596.png
2014-2015,James Reimer,TOR,G,49.0,44.0,49.0,38.0,59.0,23.0,50.0,61.0,37.0,39.0,39.0,38.0,53.0,1B,35,0.907,3.16,84.52,93,26,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503,https://assets.nhle.com/mugs/nhl/20142015/TOR/8473503.png
2014-2015,Jaroslav Halak,NYI,G,17.0,27.0,30.0,47.0,40.0,7.0,14.0,33.0,25.0,34.0,36.0,36.0,17.0,Starter,59,0.914,2.43,160.36,144,29,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860,https://assets.nhle.com/mugs/nhl/20142015/NYI/8470860.png
2014-2015,Jhonas Enroth,BUF,G,51.0,33.0,55.0,55.0,42.0,36.0,24.0,56.0,36.0,46.0,46.0,48.0,59.0,Starter,50,0.904,3.07,127.46,145,26,1988-06-25,SWE,SWE,70,175,2006,2,16,46,8473523,https://assets.nhle.com/mugs/nhl/20142015/BUF/8473523.png
2014-2015,Jhonas Enroth,DAL,G,51.0,33.0,55.0,55.0,42.0,36.0,24.0,56.0,36.0,46.0,46.0,48.0,59.0,Starter,50,0.904,3.07,127.46,145,26,1988-06-25,SWE,SWE,70,175,2006,2,16,46,8473523,https://assets.nhle.com/mugs/nhl/20142015/DAL/8473523.png
2014-2015,Jimmy Howard,DET,G,47.0,32.0,37.0,46.0,44.0,35.0,5.0,9.0,39.0,26.0,26.0,33.0,40.0,Starter,53,0.91,2.44,107.3,121,30,1984-03-26,USA,USA,73,218,2003,2,34,64,8470657,https://assets.nhle.com/mugs/nhl/20142015/DET/8470657.png
2014-2015,John Gibson,ANA,G,48.0,49.0,59.0,1.0,52.0,59.0,17.0,36.0,16.0,40.0,40.0,50.0,32.0,Backup,23,0.914,2.6,57.09,58,21,1993-07-14,USA,USA,74,210,2011,2,9,39,8476434,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476434.png
2014-2015,Jonas Hiller,CGY,G,26.0,16.0,58.0,32.0,39.0,14.0,33.0,28.0,41.0,32.0,34.0,17.0,31.0,Starter,52,0.918,2.38,119.84,113,32,1982-02-12,CHE,CHE,74,191,-,-,-,-,8473972,https://assets.nhle.com/mugs/nhl/20142015/CGY/8473972.png
2014-2015,Jonathan Bernier,TOR,G,30.0,26.0,34.0,52.0,22.0,19.0,34.0,55.0,29.0,18.0,18.0,24.0,36.0,Starter,58,0.912,2.87,155.12,152,26,1988-08-07,CAN,CAN,72,185,2006,1,11,11,8473541,https://assets.nhle.com/mugs/nhl/20142015/TOR/8473541.png
2014-2015,Jonathan Quick,LAK,G,39.0,38.0,48.0,15.0,41.0,37.0,27.0,3.0,44.0,35.0,37.0,44.0,26.0,Starter,72,0.918,2.24,161.13,156,28,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734,https://assets.nhle.com/mugs/nhl/20142015/LAK/8471734.png
2014-2015,Kari Lehtonen,DAL,G,41.0,35.0,26.0,39.0,28.0,38.0,60.0,51.0,50.0,43.0,43.0,46.0,35.0,Starter,65,0.903,2.94,166.82,181,30,1983-11-16,FIN,FIN,76,209,2002,1,2,2,8470140,https://assets.nhle.com/mugs/nhl/20142015/DAL/8470140.png
2014-2015,Karri Ramo,CGY,G,36.0,40.0,25.0,27.0,33.0,41.0,36.0,43.0,43.0,36.0,28.0,35.0,43.0,1B,34,0.912,2.6,72.95,75,28,1986-07-01,FIN,FIN,74,206,2004,6,28,191,8471403,https://assets.nhle.com/mugs/nhl/20142015/CGY/8471403.png
2014-2015,Keith Kinkaid,NJD,G,27.0,3.0,62.0,54.0,47.0,10.0,3.0,46.0,30.0,29.0,31.0,54.0,47.0,Backup,19,0.915,2.65,37.44,40,25,1989-07-04,USA,USA,74,195,-,-,-,-,8476234,https://assets.nhle.com/mugs/nhl/20142015/NJD/8476234.png
2014-2015,Marc-Andre Fleury,PIT,G,21.0,34.0,5.0,8.0,43.0,25.0,42.0,19.0,28.0,30.0,32.0,28.0,10.0,Starter,64,0.92,2.32,159.72,146,29,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594,https://assets.nhle.com/mugs/nhl/20142015/PIT/8470594.png
2014-2015,Martin Jones,LAK,G,23.0,22.0,53.0,49.0,10.0,30.0,10.0,1.0,22.0,7.0,7.0,27.0,27.0,Backup,15,0.906,2.24,26.91,29,24,1990-01-10,CAN,CAN,76,203,-,-,-,-,8474889,https://assets.nhle.com/mugs/nhl/20142015/LAK/8474889.png
2014-2015,Michael Hutchinson,WPG,G,43.0,42.0,41.0,45.0,46.0,21.0,38.0,12.0,30.0,20.0,20.0,37.0,29.0,1B,38,0.914,2.41,90.31,85,24,1990-03-02,CAN,CAN,75,201,2008,3,16,77,8474636,https://assets.nhle.com/mugs/nhl/20142015/WPG/8474636.png
2014-2015,Michal Neuvirth,BUF,G,22.0,23.0,28.0,7.0,48.0,24.0,40.0,62.0,32.0,13.0,13.0,11.0,51.0,Backup,32,0.914,2.98,90.03,92,26,1988-03-23,CZE,CZE,73,209,2006,2,4,34,8473607,https://assets.nhle.com/mugs/nhl/20142015/BUF/8473607.png
2014-2015,Michal Neuvirth,NYI,G,22.0,23.0,28.0,7.0,48.0,24.0,40.0,62.0,32.0,13.0,13.0,11.0,51.0,Backup,32,0.914,2.98,90.03,92,26,1988-03-23,CZE,CZE,73,209,2006,2,4,34,8473607,https://assets.nhle.com/mugs/nhl/20142015/NYI/8473607.png
2014-2015,Mike Smith,ARI,G,44.0,39.0,50.0,42.0,37.0,42.0,57.0,58.0,45.0,47.0,47.0,45.0,55.0,Starter,62,0.904,3.15,164.09,187,32,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608,https://assets.nhle.com/mugs/nhl/20142015/ARI/8469608.png
2014-2015,Niklas Backstrom,MIN,G,62.0,62.0,47.0,29.0,57.0,61.0,32.0,7.0,61.0,62.0,62.0,55.0,61.0,Backup,19,0.887,3.05,36.88,51,36,1978-02-13,FIN,FIN,74,192,-,-,-,-,8473404,https://assets.nhle.com/mugs/nhl/20142015/MIN/8473404.png
2014-2015,Niklas Svedberg,BOS,G,12.0,17.0,40.0,9.0,36.0,12.0,6.0,29.0,20.0,54.0,54.0,41.0,37.0,Backup,18,0.918,2.33,33.73,35,24,1989-09-04,SWE,SWE,73,163,-,-,-,-,8476844,https://assets.nhle.com/mugs/nhl/20142015/BOS/8476844.png
2014-2015,Ondrej Pavelec,WPG,G,38.0,41.0,24.0,24.0,14.0,51.0,37.0,40.0,47.0,44.0,44.0,51.0,39.0,Starter,50,0.92,2.28,124.42,108,27,1987-08-31,CZE,CZE,75,212,2005,2,11,41,8471715,https://assets.nhle.com/mugs/nhl/20142015/WPG/8471715.png
2014-2015,Pekka Rinne,NSH,G,45.0,48.0,39.0,2.0,51.0,55.0,4.0,5.0,11.0,23.0,23.0,39.0,21.0,Starter,64,0.923,2.17,139.67,140,31,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469,https://assets.nhle.com/mugs/nhl/20142015/NSH/8471469.png
2014-2015,Petr Mrazek,DET,G,29.0,20.0,32.0,37.0,7.0,48.0,9.0,16.0,23.0,21.0,21.0,21.0,18.0,Backup,29,0.918,2.38,64.97,63,22,1992-02-14,CZE,CZE,74,188,2010,5,21,141,8475852,https://assets.nhle.com/mugs/nhl/20142015/DET/8475852.png
2014-2015,Ray Emery,PHI,G,60.0,51.0,61.0,40.0,56.0,58.0,59.0,24.0,54.0,57.0,58.0,61.0,56.0,Backup,31,0.894,3.06,66.54,80,31,1982-09-28,CAN,CAN,74,196,2001,4,3,99,8469548,https://assets.nhle.com/mugs/nhl/20142015/PHI/8469548.png
2014-2015,Reto Berra,COL,G,42.0,29.0,31.0,50.0,35.0,39.0,54.0,53.0,57.0,58.0,56.0,47.0,58.0,Backup,19,0.918,2.72,32.19,33,27,1987-01-03,CHE,CHE,76,218,2006,4,13,106,8473499,https://assets.nhle.com/mugs/nhl/20142015/COL/8473499.png
2014-2015,Roberto Luongo,FLA,G,24.0,19.0,43.0,17.0,24.0,34.0,22.0,17.0,19.0,17.0,17.0,15.0,30.0,Starter,61,0.921,2.35,135.37,138,35,1979-04-04,CAN,CAN,75,215,1997,1,4,4,8466141,https://assets.nhle.com/mugs/nhl/20142015/FLA/8466141.png
2014-2015,Robin Lehner,OTT,G,53.0,55.0,29.0,56.0,58.0,27.0,52.0,57.0,48.0,55.0,55.0,52.0,52.0,Backup,25,0.905,3.02,60.38,74,23,1991-07-24,SWE,SWE,76,250,2009,2,16,46,8475215,https://assets.nhle.com/mugs/nhl/20142015/OTT/8475215.png
2014-2015,Ryan Miller,VAN,G,32.0,46.0,15.0,21.0,55.0,13.0,28.0,42.0,31.0,24.0,24.0,49.0,28.0,1A,45,0.911,2.53,105.73,107,34,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011,https://assets.nhle.com/mugs/nhl/20142015/VAN/8468011.png
2014-2015,Scott Darling,CHI,G,1.0,2.0,20.0,31.0,1.0,5.0,35.0,52.0,1.0,2.0,2.0,9.0,2.0,Backup,14,0.936,1.95,36.84,27,25,1988-12-22,USA,USA,78,226,2007,6,2,153,8474152,https://assets.nhle.com/mugs/nhl/20142015/CHI/8474152.png
2014-2015,Semyon Varlamov,COL,G,8.0,25.0,2.0,18.0,4.0,20.0,61.0,59.0,8.0,15.0,15.0,19.0,13.0,Starter,57,0.921,2.56,157.1,141,26,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575,https://assets.nhle.com/mugs/nhl/20142015/COL/8473575.png
2014-2015,Sergei Bobrovsky,CBJ,G,13.0,11.0,19.0,20.0,12.0,29.0,19.0,50.0,21.0,10.0,10.0,7.0,9.0,Starter,51,0.918,2.68,132.24,134,25,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683,https://assets.nhle.com/mugs/nhl/20142015/CBJ/8475683.png
2014-2015,Steve Mason,PHI,G,19.0,14.0,42.0,19.0,9.0,45.0,58.0,25.0,15.0,19.0,19.0,22.0,24.0,Starter,51,0.928,2.25,123.17,108,26,1988-05-29,CAN,CAN,76,188,2006,3,6,69,8473461,https://assets.nhle.com/mugs/nhl/20142015/PHI/8473461.png
2014-2015,Thomas Greiss,PIT,G,35.0,18.0,11.0,57.0,34.0,15.0,46.0,15.0,42.0,28.0,30.0,18.0,42.0,Backup,20,0.908,2.59,45.25,50,28,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306,https://assets.nhle.com/mugs/nhl/20142015/PIT/8471306.png
2014-2015,Tuukka Rask,BOS,G,14.0,12.0,38.0,26.0,17.0,26.0,18.0,11.0,4.0,5.0,5.0,13.0,6.0,Starter,70,0.922,2.3,151.9,156,27,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695,https://assets.nhle.com/mugs/nhl/20142015/BOS/8471695.png
2014-2015,Viktor Fasth,EDM,G,61.0,61.0,56.0,62.0,60.0,52.0,55.0,54.0,59.0,61.0,61.0,62.0,62.0,Backup,26,0.888,3.41,62.92,76,32,1982-08-08,SWE,SWE,72,181,-,-,-,-,8476839,https://assets.nhle.com/mugs/nhl/20142015/EDM/8476839.png
