Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2018-2019,Jimmy Howard,DET,G,29.0,23.0,57.0,62.0,12.0,29.0,42.0,55.0,29.0,26.0,27.0,18.0,45.0,Starter,55,0.909,3.07,153.99,156,34,1984-03-26,USA,USA,73,218,2003,2,34,64,8470657
2018-2019,John Gibson,ANA,G,3.0,7.0,4.0,4.0,13.0,11.0,63.0,63.0,5.0,13.0,14.0,19.0,15.0,Starter,58,0.917,2.84,177.71,153,25,1993-07-14,USA,USA,74,210,2011,2,9,39,8476434
2018-2019,Jonathan Bernier,DET,G,40.0,43.0,6.0,60.0,25.0,39.0,51.0,51.0,57.0,44.0,44.0,49.0,51.0,1B,35,0.904,3.16,89.33,98,30,1988-08-07,CAN,CAN,72,185,2006,1,11,11,8473541
2018-2019,Jonathan Quick,LAK,G,60.0,57.0,46.0,59.0,48.0,54.0,54.0,12.0,53.0,46.0,46.0,41.0,56.0,1A,46,0.888,3.38,116.64,149,32,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734
2018-2019,Joonas Korpisalo,CBJ,G,58.0,60.0,48.0,57.0,43.0,57.0,32.0,21.0,62.0,57.0,57.0,51.0,61.0,Backup,27,0.897,2.95,54.21,67,24,1994-04-28,FIN,FIN,75,193,2012,3,1,62,8476914
2018-2019,Jordan Binnington,STL,G,2.0,1.0,16.0,49.0,4.0,4.0,7.0,1.0,2.0,5.0,5.0,20.0,1.0,Backup,32,0.927,1.89,66.6,59,25,1993-07-11,CAN,CAN,74,172,2011,3,27,88,8476412
2018-2019,Juuse Saros,NSH,G,12.0,18.0,18.0,55.0,7.0,13.0,52.0,40.0,14.0,29.0,30.0,37.0,10.0,Backup,31,0.915,2.62,77.26,74,23,1995-04-19,FIN,FIN,71,180,2013,4,8,99,8477424
2018-2019,Keith Kinkaid,NJD,G,59.0,58.0,28.0,66.0,20.0,59.0,13.0,26.0,55.0,62.0,62.0,56.0,55.0,1A,41,0.891,3.36,103.37,129,29,1989-07-04,USA,USA,74,195,-,-,-,-,8476234
2018-2019,Laurent Brossoit,WPG,G,25.0,10.0,45.0,33.0,46.0,7.0,55.0,49.0,31.0,33.0,33.0,59.0,26.0,Backup,21,0.925,2.52,58.85,49,25,1993-03-23,CAN,CAN,75,215,2011,6,13,164,8476316
2018-2019,Linus Ullmark,BUF,G,51.0,42.0,59.0,37.0,60.0,36.0,3.0,45.0,50.0,47.0,47.0,57.0,49.0,1B,37,0.905,3.11,89.73,109,25,1993-07-31,SWE,SWE,77,212,2012,6,12,163,8476999
2018-2019,Louis Domingue,TBL,G,48.0,47.0,41.0,38.0,53.0,49.0,40.0,42.0,54.0,43.0,43.0,21.0,35.0,Backup,26,0.908,2.88,64.45,75,26,1992-03-06,CAN,CAN,75,208,2010,5,18,138,8475839
2018-2019,Mackenzie Blackwood,NJD,G,28.0,28.0,15.0,1.0,19.0,58.0,2.0,24.0,1.0,2.0,2.0,32.0,25.0,Backup,23,0.918,2.61,54.56,55,21,1996-12-09,CAN,CAN,76,225,2015,2,12,42,8478406
2018-2019,Malcolm Subban,VGK,G,46.0,45.0,54.0,52.0,52.0,31.0,29.0,13.0,48.0,56.0,56.0,48.0,48.0,Backup,21,0.902,2.93,47.74,60,24,1993-12-21,CAN,CAN,74,215,2012,1,24,24,8476876
2018-2019,Marc-Andre Fleury,VGK,G,21.0,32.0,14.0,21.0,2.0,48.0,43.0,18.0,13.0,3.0,3.0,13.0,7.0,Starter,61,0.913,2.51,152.41,152,33,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594
2018-2019,Martin Jones,SJS,G,44.0,63.0,8.0,56.0,28.0,43.0,26.0,15.0,42.0,54.0,54.0,58.0,37.0,Starter,62,0.896,2.95,155.42,176,28,1990-01-10,CAN,CAN,76,203,-,-,-,-,8474889
2018-2019,Matt Murray,PIT,G,20.0,15.0,42.0,13.0,36.0,15.0,50.0,48.0,25.0,24.0,25.0,40.0,11.0,Starter,50,0.919,2.69,129.49,129,24,1994-05-25,CAN,CAN,77,203,2012,3,22,83,8476899
2018-2019,Mike Smith,CGY,G,38.0,46.0,38.0,58.0,35.0,30.0,22.0,14.0,39.0,52.0,52.0,33.0,40.0,1A,42,0.898,2.72,97.12,109,36,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608
2018-2019,Mikko Koskinen,EDM,G,47.0,48.0,44.0,39.0,38.0,52.0,45.0,29.0,43.0,59.0,59.0,45.0,42.0,Starter,55,0.906,2.93,136.01,146,30,1988-07-18,FIN,FIN,79,202,2009,2,1,31,8475156
2018-2019,Pekka Rinne,NSH,G,9.0,5.0,47.0,29.0,21.0,10.0,10.0,17.0,8.0,18.0,19.0,17.0,4.0,Starter,56,0.918,2.42,134.26,130,35,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469
2018-2019,Petr Mrazek,CAR,G,39.0,27.0,60.0,50.0,24.0,44.0,9.0,6.0,56.0,45.0,45.0,46.0,31.0,1B,40,0.914,2.39,98.66,95,26,1992-02-14,CZE,CZE,74,188,2010,5,21,141,8475852
2018-2019,Pheonix Copley,WSH,G,52.0,51.0,36.0,9.0,65.0,19.0,47.0,23.0,36.0,12.0,13.0,10.0,33.0,Backup,27,0.905,2.9,70.05,74,26,1992-01-18,USA,USA,76,200,-,-,-,-,8477831
2018-2019,Philipp Grubauer,COL,G,13.0,8.0,19.0,28.0,9.0,21.0,53.0,28.0,6.0,11.0,9.0,28.0,16.0,1B,37,0.917,2.64,87.57,89,26,1991-11-25,DEU,DEU,73,188,2010,4,22,112,8475831
2018-2019,Roberto Luongo,FLA,G,41.0,52.0,12.0,22.0,47.0,40.0,28.0,32.0,34.0,38.0,38.0,29.0,38.0,1A,43,0.899,3.12,104.64,122,39,1979-04-04,CAN,CAN,75,215,1997,1,4,4,8466141
2018-2019,Robin Lehner,NYI,G,5.0,14.0,3.0,20.0,10.0,18.0,20.0,31.0,7.0,10.0,11.0,4.0,12.0,1A,46,0.93,2.13,113.91,93,27,1991-07-24,SWE,SWE,76,250,2009,2,16,46,8475215
2018-2019,Ryan Miller,ANA,G,8.0,6.0,37.0,32.0,6.0,14.0,44.0,58.0,22.0,14.0,12.0,14.0,28.0,Backup,20,0.912,2.76,52.91,51,38,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011
2018-2019,Semyon Varlamov,COL,G,35.0,36.0,23.0,47.0,32.0,35.0,65.0,41.0,26.0,40.0,40.0,38.0,39.0,1A,49,0.909,2.87,125.14,136,30,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575
2018-2019,Sergei Bobrovsky,CBJ,G,10.0,17.0,35.0,45.0,33.0,3.0,30.0,25.0,23.0,21.0,21.0,35.0,6.0,Starter,62,0.913,2.58,146.78,153,29,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683
2018-2019,Thomas Greiss,NYI,G,19.0,13.0,61.0,36.0,5.0,38.0,31.0,57.0,15.0,28.0,29.0,42.0,19.0,1A,43,0.927,2.28,99.19,87,32,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306
2018-2019,Tuukka Rask,BOS,G,27.0,29.0,17.0,48.0,14.0,33.0,1.0,4.0,32.0,37.0,37.0,36.0,13.0,1A,46,0.912,2.48,101.86,109,31,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695
