Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2011-2012,Andrei Kostitsyn,"MTL, NSH",F,136.0,401.0,140.0,,202.0,307.0,129.0,109.0,170.0,140.0,299.0,158.0,,168.0,Bottom 6,72,1088.3333333333,16,10,40,1985-02-03,BLR,BLR,72,214,2003,1,10,10
2011-2012,Andrei Loktionov,LAK,F,314.0,422.0,,,165.0,365.0,243.0,383.0,78.0,303.0,296.0,440.0,155.0,368.0,Bottom 6,39,488.65,3,4,35,1990-05-30,RUS,RUS,71,190,2008,5,2,123
2011-2012,Andrew Brunette,CHI,F,313.0,261.0,128.0,,183.0,171.0,410.0,173.0,25.0,136.0,57.0,422.0,,231.0,Bottom 6,78,1056.8666666667,12,11,52,1973-08-24,CAN,CAN,73,215,1993,7,18,174
2011-2012,Andrew Cogliano,ANA,F,265.0,386.0,226.0,88.0,236.0,373.0,321.0,282.0,239.0,219.0,95.0,244.0,118.0,244.0,Bottom 6,82,1205.8833333333,13,9,38,1987-06-14,CAN,CAN,70,179,2005,1,25,25
2011-2012,Andrew Desjardins,SJS,F,251.0,26.0,,108.0,107.0,121.0,311.0,395.0,394.0,167.0,385.0,133.0,147.0,359.0,Bottom 6,76,728.2,4,9,39,1986-07-27,CAN,CAN,73,195,-,-,-,-
2011-2012,Andrew Gordon,ANA,F,376.0,440.0,,112.0,341.0,433.0,358.0,406.0,114.0,416.0,252.0,154.0,,400.0,Bottom 6,37,401.63333333333,2,2,39,1985-12-13,CAN,CAN,72,194,2004,7,4,197
2011-2012,Andrew Ladd,WPG,F,48.0,317.0,204.0,134.0,37.0,286.0,99.0,66.0,134.0,228.0,270.0,289.0,,85.0,First Line,82,1604.4,28,13,39,1985-12-12,CAN,CAN,75,205,2004,1,4,4
2011-2012,Andrew Murray,SJS,F,302.0,4.0,,,247.0,2.0,162.0,337.0,243.0,357.0,7.0,36.0,,364.0,Fringe,39,300.48333333333,1,2,43,1981-11-06,CAN,CAN,74,210,2001,8,15,242
2011-2012,Andrew Shaw,CHI,F,107.0,150.0,,,384.0,267.0,193.0,44.0,436.0,109.0,235.0,102.0,,147.0,Bottom 6,37,562.68333333333,12,8,34,1991-07-20,CAN,CAN,71,182,2011,5,18,139
2011-2012,Andy McDonald,STL,F,38.0,204.0,42.0,238.0,70.0,141.0,102.0,42.0,181.0,99.0,70.0,421.0,34.0,37.0,First Line,25,463.13333333333,10,5,48,1977-08-25,CAN,CAN,70,175,-,-,-,-
2011-2012,Anthony Stewart,CAR,F,253.0,395.0,245.0,,303.0,405.0,283.0,190.0,73.0,177.0,349.0,148.0,,289.0,Fringe,77,625.6,9,5,40,1985-01-05,CAN,CAN,75,230,2003,1,25,25
2011-2012,Antoine Vermette,"CBJ, PHX",F,208.0,179.0,142.0,16.0,120.0,185.0,263.0,262.0,231.0,148.0,221.0,203.0,11.0,149.0,Second Line,82,1410.9833333333,11,17,43,1982-07-20,CAN,CAN,73,197,2000,2,25,55
2011-2012,Anton Lander,EDM,F,438.0,432.0,,115.0,430.0,410.0,391.0,432.0,242.0,439.0,384.0,309.0,163.0,419.0,Bottom 6,56,594.4,2,0,34,1991-04-24,SWE,SWE,72,184,2009,2,10,40
2011-2012,Antti Miettinen,WPG,F,279.0,301.0,219.0,178.0,291.0,216.0,189.0,234.0,177.0,261.0,214.0,218.0,,224.0,Bottom 6,45,526.81666666667,5,4,45,1980-07-03,FIN,FIN,72,190,2000,7,27,224
2011-2012,Anze Kopitar,LAK,F,39.0,63.0,63.0,46.0,21.0,40.0,110.0,107.0,200.0,43.0,36.0,320.0,40.0,18.0,First Line,82,1749.7833333333,25,24,38,1987-08-24,SVN,SVN,75,225,2005,1,11,11
2011-2012,Arron Asham,PIT,F,183.0,142.0,,,253.0,115.0,265.0,257.0,51.0,112.0,313.0,45.0,,355.0,Bottom 6,64,591.08333333333,5,9,47,1978-04-13,CAN,CAN,71,210,1996,3,19,71
2011-2012,Artem Anisimov,NYR,F,143.0,146.0,206.0,121.0,106.0,243.0,169.0,179.0,129.0,207.0,131.0,276.0,94.0,176.0,Bottom 6,79,1216.7166666667,16,12,37,1988-05-24,RUS,RUS,76,199,2006,2,24,54
2011-2012,B.J. Crombeen,STL,F,362.0,147.0,,195.0,365.0,46.0,141.0,398.0,195.0,398.0,411.0,181.0,,385.0,Fringe,40,332.11666666667,1,2,40,1985-07-10,USA,USA,74,209,2003,2,24,54
2011-2012,Ben Eager,EDM,F,198.0,313.0,,,327.0,287.0,167.0,172.0,62.0,237.0,429.0,96.0,,350.0,Bottom 6,63,538.1,8,4,41,1984-01-22,CAN,CAN,74,226,2002,1,23,23
2011-2012,Benn Ferriero,SJS,F,135.0,94.0,,,71.0,70.0,79.0,159.0,163.0,394.0,154.0,176.0,,278.0,Bottom 6,35,421.73333333333,7,0,38,1987-04-29,USA,USA,71,195,2006,7,13,196
2011-2012,Benoit Pouliot,BOS,F,51.0,115.0,156.0,,67.0,113.0,150.0,67.0,113.0,149.0,333.0,150.0,,228.0,Bottom 6,74,903.56666666667,16,9,38,1986-09-29,CAN,CAN,75,200,2005,1,4,4
2011-2012,Blair Jones,"CGY, TBL",F,399.0,209.0,,,388.0,274.0,271.0,391.0,386.0,359.0,368.0,183.0,165.0,343.0,Bottom 6,43,488.41666666667,3,3,38,1986-09-27,CAN,CAN,74,216,2005,4,11,102
2011-2012,Blake Comeau,"CGY, NYI",F,213.0,383.0,260.0,25.0,287.0,339.0,151.0,253.0,286.0,264.0,271.0,151.0,,201.0,Bottom 6,74,1143.3333333333,5,5,39,1986-02-18,CAN,CAN,73,200,2004,2,17,47
2011-2012,Blake Geoffrion,"MTL, NSH",F,412.0,274.0,,,398.0,304.0,422.0,397.0,426.0,391.0,418.0,173.0,151.0,410.0,Bottom 6,35,386.41666666667,2,2,37,1988-02-03,USA,USA,73,190,2006,2,26,56
2011-2012,Blake Wheeler,WPG,F,45.0,269.0,121.0,158.0,16.0,309.0,125.0,203.0,116.0,39.0,251.0,254.0,,102.0,First Line,80,1526.0333333333,17,31,38,1986-08-31,USA,USA,77,220,2004,1,5,5
2011-2012,Bobby Butler,OTT,F,123.0,425.0,249.0,,54.0,426.0,154.0,178.0,144.0,251.0,287.0,306.0,,226.0,Bottom 6,56,642.75,6,4,38,1987-04-26,USA,USA,72,189,-,-,-,-
2011-2012,Bobby Ryan,ANA,F,28.0,369.0,59.0,223.0,197.0,321.0,72.0,19.0,127.0,88.0,47.0,195.0,,46.0,First Line,82,1504.8,31,20,38,1987-03-17,USA,USA,74,208,2005,1,2,2
2011-2012,Boyd Gordon,PHX,F,323.0,69.0,,73.0,286.0,157.0,327.0,359.0,408.0,323.0,248.0,334.0,7.0,270.0,Second Line,75,1194.4833333333,8,8,41,1983-10-19,CAN,CAN,72,200,2002,1,17,17
2011-2012,Brad Boyes,BUF,F,197.0,327.0,110.0,,89.0,297.0,165.0,266.0,185.0,108.0,161.0,337.0,88.0,191.0,Bottom 6,65,855.85,8,10,43,1982-04-17,CAN,CAN,72,199,2000,1,24,24
2011-2012,Brad Marchand,BOS,F,66.0,340.0,231.0,98.0,20.0,229.0,175.0,40.0,344.0,210.0,314.0,248.0,,136.0,Second Line,76,1339.3166666667,28,13,37,1988-05-11,CAN,CAN,69,176,2006,3,8,71
2011-2012,Brad Mills,NJD,F,443.0,145.0,,,443.0,91.0,370.0,442.0,54.0,442.0,409.0,55.0,144.0,439.0,Fringe,27,193.78333333333,0,0,42,1983-05-03,CAN,CAN,72,195,-,-,-,-
2011-2012,Brad Richards,NYR,F,78.0,388.0,27.0,,122.0,370.0,45.0,88.0,69.0,20.0,180.0,414.0,50.0,15.0,First Line,82,1661.75,25,21,45,1980-05-02,CAN,CAN,72,199,1998,3,6,64
2011-2012,Brad Richardson,LAK,F,241.0,92.0,,151.0,141.0,28.0,132.0,325.0,90.0,345.0,39.0,171.0,202.0,312.0,Bottom 6,59,758.78333333333,5,2,40,1985-02-04,CAN,CAN,72,190,2003,5,27,163
2011-2012,Brad Staubitz,"MIN, MTL",F,440.0,149.0,,,440.0,162.0,429.0,370.0,267.0,424.0,428.0,10.0,,434.0,Fringe,62,404.33333333333,1,0,41,1984-07-28,CAN,CAN,73,207,-,-,-,-
2011-2012,Brad Winchester,SJS,F,297.0,106.0,259.0,,320.0,76.0,172.0,249.0,71.0,377.0,378.0,44.0,,378.0,Fringe,67,523.1,6,3,44,1981-03-01,USA,USA,77,230,2000,2,5,35
2011-2012,Brandon Dubinsky,NYR,F,126.0,333.0,152.0,51.0,49.0,351.0,192.0,235.0,364.0,133.0,257.0,111.0,53.0,135.0,Second Line,77,1253.0166666667,10,14,39,1986-04-29,USA,USA,74,208,2004,2,30,60
2011-2012,Brandon McMillan,ANA,F,423.0,438.0,,207.0,437.0,441.0,368.0,379.0,305.0,355.0,421.0,245.0,195.0,333.0,Bottom 6,25,280.4,0,1,35,1990-03-22,CAN,CAN,71,190,2008,3,24,85
2011-2012,Brandon Prust,NYR,F,359.0,279.0,,130.0,172.0,284.0,418.0,319.0,390.0,288.0,172.0,73.0,,345.0,Bottom 6,82,979.36666666667,5,7,41,1984-03-16,CAN,CAN,72,195,2004,3,5,70
2011-2012,Brandon Sutter,CAR,F,202.0,321.0,264.0,55.0,271.0,420.0,211.0,205.0,413.0,205.0,20.0,333.0,92.0,160.0,Second Line,82,1426.6333333333,17,12,36,1989-02-14,USA,CAN,75,190,2007,1,11,11
2011-2012,Brandon Yip,"COL, NSH",F,282.0,336.0,261.0,,370.0,311.0,197.0,215.0,197.0,256.0,362.0,144.0,,282.0,Bottom 6,35,373.73333333333,3,3,40,1985-04-25,CAN,CAN,73,198,2004,8,12,239
2011-2012,Brayden Schenn,PHI,F,221.0,415.0,182.0,,92.0,418.0,215.0,134.0,205.0,380.0,275.0,70.0,157.0,247.0,Bottom 6,54,762.71666666667,12,3,34,1991-08-22,CAN,CAN,73,199,2009,1,5,5
2011-2012,Brendan Morrison,"CGY, CHI",F,307.0,152.0,227.0,216.0,203.0,172.0,388.0,308.0,258.0,118.0,73.0,420.0,72.0,241.0,Bottom 6,39,520.76666666667,4,5,50,1975-08-15,CAN,CAN,71,176,1993,2,13,39
2011-2012,Brenden Morrow,DAL,F,269.0,341.0,77.0,235.0,229.0,254.0,264.0,113.0,262.0,265.0,373.0,90.0,,130.0,Second Line,57,971.2,11,7,46,1979-01-16,CAN,CAN,71,212,1997,1,25,25
2011-2012,Brett Connolly,TBL,F,401.0,421.0,192.0,,337.0,414.0,261.0,408.0,356.0,360.0,415.0,243.0,,360.0,Bottom 6,68,780.05,4,4,33,1992-05-02,CAN,CAN,75,198,2010,1,6,6
2011-2012,Brian Boyle,NYR,F,171.0,177.0,240.0,30.0,259.0,341.0,95.0,256.0,433.0,339.0,176.0,46.0,78.0,181.0,Bottom 6,82,1249.5166666667,11,9,40,1984-12-18,USA,USA,78,245,2003,1,26,26
2011-2012,Brian Gionta,MTL,F,62.0,299.0,118.0,175.0,101.0,258.0,50.0,89.0,347.0,215.0,88.0,295.0,,84.0,First Line,31,602.48333333333,8,6,46,1979-01-18,USA,USA,67,178,1998,3,24,82
2011-2012,Brian McGrattan,NSH,F,334.0,100.0,,,263.0,49.0,273.0,417.0,16.0,242.0,440.0,41.0,,438.0,Fringe,30,159.6,0,1,43,1981-09-02,CAN,CAN,76,235,1999,4,8,104
2011-2012,Brian Rolston,"BOS, NYI",F,268.0,49.0,115.0,152.0,336.0,12.0,69.0,272.0,155.0,247.0,276.0,222.0,,173.0,Bottom 6,70,999.63333333333,7,7,52,1973-02-21,USA,USA,74,215,1991,1,11,11
2011-2012,Brooks Laich,WSH,F,212.0,167.0,93.0,40.0,198.0,231.0,133.0,238.0,263.0,102.0,146.0,213.0,87.0,100.0,First Line,82,1516.5166666667,16,20,42,1983-06-23,CAN,CAN,74,200,2001,6,28,193
2011-2012,Bryan Bickell,CHI,F,261.0,318.0,254.0,,326.0,293.0,281.0,184.0,395.0,248.0,285.0,81.0,,274.0,Bottom 6,71,861.73333333333,9,8,39,1986-03-09,CAN,CAN,76,223,2004,2,11,41
2011-2012,Bryan Little,WPG,F,131.0,280.0,131.0,138.0,41.0,298.0,232.0,140.0,219.0,165.0,74.0,389.0,171.0,131.0,First Line,74,1496.1,24,14,37,1987-11-12,CAN,CAN,72,191,2006,1,12,12
2011-2012,Cal Clutterbuck,MIN,F,229.0,194.0,209.0,8.0,362.0,178.0,101.0,155.0,381.0,314.0,203.0,13.0,,183.0,Second Line,74,1210.3833333333,15,6,37,1987-11-18,CAN,CAN,72,212,2006,3,9,72
2011-2012,Cal O'Reilly,"NSH, PHX, PIT",F,405.0,219.0,239.0,,241.0,271.0,440.0,354.0,97.0,239.0,79.0,442.0,110.0,348.0,Bottom 6,33,421.11666666667,2,4,38,1986-09-30,CAN,CAN,72,188,2005,5,25,150
2011-2012,Cam Atkinson,CBJ,F,86.0,135.0,187.0,,279.0,331.0,100.0,117.0,428.0,106.0,424.0,297.0,,151.0,Bottom 6,27,415.46666666667,7,6,36,1989-06-05,USA,USA,68,176,2008,6,6,157
2011-2012,Cam Janssen,NJD,F,441.0,102.0,,,424.0,24.0,430.0,437.0,5.0,403.0,439.0,3.0,,443.0,Fringe,48,224.73333333333,0,1,41,1984-04-15,USA,USA,72,215,2002,4,21,117
2011-2012,Carl Hagelin,NYR,F,129.0,249.0,,,205.0,272.0,179.0,175.0,318.0,107.0,367.0,220.0,,178.0,Bottom 6,64,962.96666666667,14,13,37,1988-08-23,SWE,SWE,72,183,2007,6,17,168
2011-2012,Chad LaRose,CAR,F,115.0,434.0,223.0,199.0,138.0,421.0,49.0,132.0,269.0,262.0,265.0,113.0,,152.0,Second Line,67,1123.25,19,8,43,1982-03-27,USA,USA,70,181,-,-,-,-
2011-2012,Chris Higgins,VAN,F,69.0,155.0,162.0,12.0,83.0,195.0,87.0,167.0,283.0,198.0,117.0,241.0,,134.0,Second Line,71,1158.4,18,12,42,1983-06-02,USA,USA,72,205,2002,1,14,14
2011-2012,Chris Kelly,BOS,F,218.0,71.0,,29.0,220.0,72.0,326.0,131.0,282.0,259.0,151.0,258.0,64.0,215.0,Bottom 6,82,1208.3,20,11,44,1980-11-11,CAN,CAN,72,190,1999,3,28,94
2011-2012,Chris Kunitz,PIT,F,21.0,267.0,64.0,,5.0,163.0,107.0,59.0,48.0,95.0,263.0,122.0,,79.0,First Line,82,1501.7333333333,26,18,45,1979-09-26,CAN,CAN,72,188,-,-,-,-
2011-2012,Chris Neil,OTT,F,240.0,143.0,230.0,,223.0,108.0,185.0,255.0,100.0,235.0,410.0,9.0,,280.0,Bottom 6,72,921.05,13,9,46,1979-06-18,CAN,CAN,73,209,1998,6,16,161
2011-2012,Chris Porter,STL,F,356.0,216.0,,,355.0,109.0,228.0,350.0,53.0,402.0,109.0,35.0,,391.0,Bottom 6,47,488.46666666667,4,1,41,1984-05-29,CAN,CAN,73,206,2003,9,21,282
2011-2012,Chris Stewart,STL,F,83.0,380.0,53.0,,115.0,301.0,98.0,50.0,68.0,85.0,352.0,202.0,,111.0,Bottom 6,79,1219.6333333333,15,11,37,1987-10-30,CAN,CAN,74,242,2006,1,18,18
2011-2012,Chris Thorburn,WPG,F,366.0,81.0,,184.0,357.0,239.0,335.0,358.0,328.0,308.0,274.0,64.0,197.0,340.0,Bottom 6,72,733.13333333333,4,6,42,1983-06-03,CAN,CAN,75,235,2001,2,20,50
2011-2012,Chuck Kobasew,COL,F,321.0,240.0,,179.0,391.0,279.0,324.0,227.0,268.0,346.0,100.0,215.0,,318.0,Bottom 6,58,687.21666666667,7,6,43,1982-04-17,CAN,CAN,72,192,2001,1,14,14
2011-2012,Clarke MacArthur,TOR,F,87.0,362.0,122.0,,61.0,269.0,199.0,85.0,194.0,79.0,90.0,266.0,,139.0,Second Line,73,1156.6166666667,20,12,40,1985-04-06,CAN,CAN,72,192,2003,3,6,74
2011-2012,Claude Giroux,PHI,F,29.0,325.0,18.0,28.0,7.0,343.0,152.0,103.0,221.0,5.0,4.0,281.0,37.0,23.0,First Line,77,1657.8,28,37,37,1988-01-12,CAN,CAN,71,190,2006,1,22,22
2011-2012,Cody Eakin,WSH,F,285.0,326.0,,,377.0,324.0,305.0,162.0,338.0,405.0,231.0,314.0,,366.0,Bottom 6,30,278.3,4,1,34,1991-05-24,CAN,CAN,72,196,2009,3,24,85
2011-2012,Cody Hodgson,"BUF, VAN",F,256.0,361.0,179.0,,333.0,398.0,188.0,112.0,315.0,143.0,212.0,394.0,158.0,206.0,Bottom 6,83,1147.2666666667,19,15,35,1990-02-18,CAN,CAN,72,191,2008,1,10,10
2011-2012,Cody McCormick,BUF,F,333.0,27.0,,,269.0,42.0,256.0,389.0,287.0,309.0,412.0,78.0,194.0,380.0,Fringe,50,391.53333333333,1,2,42,1983-04-18,CAN,CAN,74,222,2001,5,13,144
2011-2012,Cody McLeod,COL,F,344.0,136.0,,228.0,316.0,126.0,248.0,290.0,92.0,408.0,435.0,19.0,,394.0,Fringe,75,539.55,6,1,41,1984-06-26,CAN,CAN,74,204,-,-,-,-
2011-2012,Colby Armstrong,TOR,F,382.0,254.0,,180.0,335.0,219.0,428.0,333.0,149.0,384.0,22.0,135.0,,353.0,Bottom 6,29,270.3,1,0,42,1982-11-23,CAN,CAN,74,185,2001,1,21,21
2011-2012,Colin Fraser,LAK,F,400.0,25.0,,54.0,343.0,41.0,355.0,402.0,308.0,417.0,194.0,59.0,103.0,393.0,Bottom 6,67,652.25,2,1,40,1985-01-28,CAN,CAN,73,190,2003,3,1,69
2011-2012,Colin Greening,OTT,F,97.0,398.0,215.0,,160.0,412.0,104.0,142.0,237.0,225.0,300.0,93.0,,159.0,Second Line,82,1278.4833333333,17,12,39,1986-03-09,CAN,CAN,74,210,2005,7,10,204
2011-2012,Colin Wilson,NSH,F,204.0,109.0,125.0,,171.0,47.0,302.0,126.0,158.0,153.0,76.0,358.0,201.0,214.0,Second Line,68,1096.85,15,11,35,1989-10-20,USA,USA,73,215,2008,1,7,7
2011-2012,Colton Gillies,"CBJ, MIN",F,442.0,80.0,,,442.0,221.0,435.0,436.0,414.0,419.0,417.0,48.0,,416.0,Bottom 6,75,756.56666666667,2,3,36,1989-02-12,CAN,CAN,76,208,2007,1,16,16
2011-2012,Corey Perry,ANA,F,85.0,339.0,5.0,125.0,257.0,282.0,44.0,7.0,250.0,84.0,210.0,322.0,,6.0,First Line,80,1710.2333333333,37,19,40,1985-05-16,CAN,CAN,75,208,2003,1,28,28
2011-2012,Corey Tropp,BUF,F,365.0,354.0,,,363.0,415.0,383.0,329.0,291.0,353.0,397.0,121.0,,363.0,Bottom 6,34,342.95,3,2,36,1989-07-25,USA,USA,72,192,2007,3,28,89
2011-2012,Cory Emmerton,DET,F,371.0,33.0,,,405.0,94.0,315.0,280.0,18.0,426.0,286.0,273.0,150.0,404.0,Fringe,71,575.2,6,2,37,1988-06-01,CAN,CAN,72,191,2006,2,11,41
2011-2012,Craig Adams,PIT,F,398.0,9.0,,2.0,360.0,13.0,369.0,413.0,176.0,310.0,167.0,51.0,109.0,352.0,Bottom 6,82,925.35,5,8,48,1977-04-26,BRN,CAN,72,200,1996,9,8,223
2011-2012,Craig Smith,NSH,F,223.0,356.0,183.0,,409.0,352.0,64.0,217.0,309.0,141.0,398.0,344.0,160.0,184.0,Bottom 6,72,1021.5,14,13,35,1989-09-05,USA,USA,72,204,2009,4,7,98
2011-2012,Curtis Glencross,CGY,F,138.0,162.0,62.0,11.0,196.0,120.0,290.0,34.0,206.0,217.0,283.0,211.0,,117.0,First Line,67,1207.1333333333,26,11,42,1982-12-28,CAN,CAN,73,197,-,-,-,-
2011-2012,Dainius Zubrus,NJD,F,303.0,13.0,163.0,166.0,283.0,5.0,398.0,247.0,248.0,214.0,229.0,224.0,76.0,211.0,First Line,82,1532.45,17,17,47,1978-06-16,LTU,LTU,77,225,1996,1,15,15
2011-2012,Dale Weise,VAN,F,411.0,221.0,,,420.0,340.0,400.0,353.0,442.0,406.0,383.0,42.0,,422.0,Fringe,68,554.83333333333,4,3,37,1988-08-05,CAN,CAN,74,196,2008,4,20,111
2011-2012,Dana Tyrell,TBL,F,385.0,72.0,,201.0,322.0,125.0,403.0,433.0,425.0,296.0,115.0,272.0,,383.0,Bottom 6,26,273.38333333333,0,3,36,1989-04-23,CAN,CAN,70,192,2007,2,17,47
2011-2012,Daniel Alfredsson,OTT,F,151.0,242.0,101.0,52.0,96.0,202.0,200.0,76.0,55.0,92.0,120.0,368.0,,81.0,First Line,75,1420.8166666667,27,21,52,1972-12-11,SWE,SWE,71,203,1994,6,3,133
2011-2012,Daniel Briere,PHI,F,55.0,410.0,74.0,,62.0,384.0,65.0,53.0,28.0,31.0,205.0,346.0,170.0,61.0,Second Line,70,1215.1833333333,16,22,47,1977-10-06,CAN,CAN,69,174,1996,1,24,24
2011-2012,Daniel Carcillo,CHI,F,301.0,129.0,,,266.0,128.0,278.0,313.0,104.0,206.0,402.0,23.0,,351.0,Bottom 6,28,319.2,2,5,40,1985-01-28,CAN,CAN,72,200,2003,3,5,73
2011-2012,Daniel Cleary,DET,F,37.0,244.0,91.0,64.0,42.0,164.0,47.0,116.0,66.0,169.0,112.0,190.0,,115.0,Second Line,75,1198.6333333333,12,11,46,1978-12-18,CAN,CAN,73,205,1997,1,13,13
2011-2012,Daniel Paille,BOS,F,264.0,189.0,,143.0,285.0,173.0,285.0,223.0,277.0,307.0,114.0,252.0,,314.0,Bottom 6,69,793.21666666667,9,4,41,1984-04-15,CAN,CAN,73,188,2002,1,20,20
2011-2012,Daniel Sedin,VAN,F,3.0,259.0,3.0,,17.0,123.0,17.0,4.0,1.0,7.0,323.0,436.0,,5.0,First Line,72,1354.6833333333,30,22,44,1980-09-26,SWE,SWE,73,190,1999,1,2,2
2011-2012,Daniel Winnik,"COL, SJS",F,273.0,97.0,,23.0,187.0,134.0,187.0,360.0,345.0,305.0,165.0,257.0,,227.0,Second Line,84,1402.2166666667,8,7,40,1985-03-06,CAN,CAN,74,210,2004,9,7,265
2011-2012,Dany Heatley,MIN,F,172.0,300.0,9.0,164.0,146.0,225.0,88.0,92.0,171.0,78.0,272.0,298.0,,40.0,First Line,82,1717.4333333333,24,17,44,1981-01-21,DEU,CAN,75,212,2000,1,2,2
2011-2012,Darcy Hordichuk,EDM,F,396.0,132.0,,,429.0,25.0,242.0,414.0,67.0,315.0,310.0,5.0,,436.0,Fringe,43,187.05,1,2,45,1980-08-10,CAN,CAN,73,215,2000,6,13,180
2011-2012,Darren Helm,DET,F,79.0,175.0,,67.0,75.0,149.0,97.0,277.0,87.0,194.0,1.0,142.0,38.0,216.0,Bottom 6,68,986.85,9,10,38,1987-01-21,CAN,CAN,72,192,2005,5,7,132
2011-2012,Darroll Powe,MIN,F,357.0,86.0,,39.0,367.0,245.0,314.0,349.0,396.0,363.0,234.0,62.0,204.0,299.0,Bottom 6,82,1146.6666666667,6,5,40,1985-06-22,CAN,CAN,71,212,-,-,-,-
2011-2012,Darryl Boyce,"CBJ, TOR",F,402.0,291.0,,,381.0,280.0,434.0,377.0,376.0,324.0,127.0,124.0,133.0,402.0,Bottom 6,37,369.33333333333,1,3,41,1984-07-07,CAN,CAN,72,200,-,-,-,-
2011-2012,Dave Bolland,CHI,F,278.0,148.0,70.0,91.0,227.0,201.0,334.0,135.0,427.0,156.0,337.0,321.0,105.0,172.0,Second Line,76,1254.1166666667,19,12,39,1986-06-05,CAN,CAN,72,188,2004,2,2,32
2011-2012,David Backes,STL,F,119.0,83.0,46.0,35.0,91.0,119.0,127.0,104.0,289.0,128.0,237.0,88.0,99.0,59.0,First Line,82,1639.8333333333,24,17,41,1984-05-01,USA,USA,75,215,2003,2,32,62
